snapshot_date, sku_id   , category   , warehouse , current_stock, reorder_point, reorder_qty, unit_cost, stock_value, below_reorder
2024-10-30   , SKU-00291, Groceries  , WH-East   ,          4213,            97,        1256,   1293.96,  5451453.48,             0
2024-01-09   , SKU-00135, Toys       , WH-East   ,          2526,           474,        1456,   2789.24,  7045620.24,             0
2024-03-12   , SKU-00174, Sports     , WH-Central,           451,           322,        1136,   2596.61,  1171071.11,             0
2024-01-31   , SKU-00159, Toys       , WH-East   ,          1306,           169,        1099,   2347.23,  3065482.38,             0
2024-04-20   , SKU-00108, Sports     , WH-West   ,          4448,           482,        1924,   2392.44, 10641573.12,             0
2024-01-04   , SKU-00226, Office     , WH-Central,          2885,           300,         131,    954.05,  2752434.25,             0
2024-01-29   , SKU-00199, Automotive , WH-North  ,           876,            97,         439,   1638.18,  1435045.68,             0
2024-01-05   , SKU-00259, Beauty     , WH-South  ,          4058,           231,        1681,    718.91,  2917336.78,             0
2024-05-04   , SKU-00100, Automotive , WH-North  ,          2550,           179,         332,   1265.55,  3227152.5 ,             0
2024-01-20   , SKU-00258, Home       , WH-East   ,          4908,            89,        1611,   2160.25, 10602507.0 ,             0
2024-01-07   , SKU-00216, Clothing   , WH-South  ,           884,           433,         349,   1266.04,  1119179.36,             0
2024-05-15   , SKU-00064, Books      , WH-North  ,          1791,           364,        1874,   2869.05,  5138468.55,             0
2024-07-04   , SKU-00170, Groceries  , WH-West   ,           621,           203,        1904,    403.17,   250368.57,             0
2024-06-30   , SKU-00298, Office     , WH-Central,          3709,           218,        1347,   2205.63,  8180681.67,             0
2024-07-29   , SKU-00171, Groceries  , WH-West   ,          1379,            96,        1253,   1091.95,  1505799.05,             0
2024-05-20   , SKU-00222, Home       , WH-East   ,          4178,           450,        1062,    293.75,  1227287.5 ,             0
2024-04-30   , SKU-00229, Toys       , WH-Central,          1439,           279,         601,   2564.62,  3690488.18,             0
2024-03-04   , SKU-00158, Home       , WH-West   ,          3213,           462,         935,    190.03,   610566.39,             0
2024-12-18   , SKU-00296, Office     , WH-Central,           983,           329,        1961,   1589.95,  1562920.85,             0
2024-02-10   , SKU-00003, Electronics, WH-Central,          1750,            56,         963,   2470.42,  4323235.0 ,             0
2024-10-09   , SKU-00126, Toys       , WH-North  ,          4883,           321,        1139,   2211.95, 10800951.85,             0
2024-02-28   , SKU-00055, Beauty     , WH-South  ,          2247,           412,         925,   2678.99,  6019690.53,             0
2024-04-23   , SKU-00178, Groceries  , WH-East   ,          4779,           413,        1551,   2518.39, 12035385.81,             0
2024-08-17   , SKU-00101, Groceries  , WH-North  ,          4856,           332,        1854,   1970.55,  9568990.8 ,             0
2024-04-23   , SKU-00020, Office     , WH-South  ,          2188,            78,         524,   2319.23,  5074475.24,             0
2024-04-26   , SKU-00033, Groceries  , WH-East   ,          3457,           356,         342,   2496.72,  8631161.04,             0
2024-05-12   , SKU-00044, Sports     , WH-North  ,          3562,            77,        1295,   1860.7 ,  6627813.4 ,             0
2024-10-20   , SKU-00186, Office     , WH-West   ,          4523,           179,        1943,   2386.28, 10793144.44,             0
2024-12-12   , SKU-00058, Electronics, WH-Central,          3494,           416,         404,   2802.96,  9793542.24,             0
2024-12-14   , SKU-00300, Electronics, WH-Central,          3424,           164,        1345,    127.82,   437655.68,             0
2024-07-09   , SKU-00005, Books      , WH-West   ,           152,           308,         909,   2503.34,   380507.68,             1
2024-10-27   , SKU-00149, Home       , WH-South  ,          4105,            82,        1183,    314.48,  1290940.4 ,             0
2024-12-22   , SKU-00297, Office     , WH-South  ,          4243,           473,         370,   2831.97, 12016048.71,             0
2024-02-02   , SKU-00282, Beauty     , WH-North  ,          1303,           422,        1585,   1954.96,  2547312.88,             0
2024-02-27   , SKU-00182, Sports     , WH-West   ,          3940,           151,         865,    327.57,  1290625.8 ,             0
2024-06-27   , SKU-00269, Books      , WH-Central,          3534,           179,         218,   1810.9 ,  6399720.6 ,             0
2024-06-18   , SKU-00075, Automotive , WH-East   ,          2007,           196,         180,   1856.72,  3726437.04,             0
2024-08-23   , SKU-00058, Electronics, WH-East   ,          2069,           446,         620,   2802.96,  5799324.24,             0
2024-11-18   , SKU-00200, Beauty     , WH-East   ,          2238,           327,        1123,   1387.53,  3105292.14,             0
2024-10-09   , SKU-00232, Groceries  , WH-West   ,          4485,            82,         174,    358.66,  1608590.1 ,             0
2024-11-19   , SKU-00145, Automotive , WH-East   ,          1455,           341,         819,   1787.27,  2600477.85,             0
2024-08-16   , SKU-00083, Toys       , WH-North  ,          4748,           227,         552,    113.66,   539657.68,             0
2024-07-09   , SKU-00049, Clothing   , WH-East   ,          1369,            98,        1814,    407.0 ,   557183.0 ,             0
2024-12-13   , SKU-00098, Clothing   , WH-West   ,          3729,           429,        1369,   2977.32, 11102426.28,             0
2024-08-30   , SKU-00152, Office     , WH-East   ,          1465,           457,        1558,   2705.95,  3964216.75,             0
2024-04-01   , SKU-00156, Clothing   , WH-East   ,          2773,           330,         311,   1788.58,  4959732.34,             0
2024-10-31   , SKU-00021, Clothing   , WH-West   ,           247,           282,         605,   2572.96,   635521.12,             1
2024-11-20   , SKU-00026, Books      , WH-West   ,          4087,           255,         730,   2017.35,  8244909.45,             0
2024-04-13   , SKU-00223, Home       , WH-North  ,          4414,           315,        1991,   1757.48,  7757516.72,             0
2024-10-21   , SKU-00263, Clothing   , WH-North  ,          2973,           298,        1490,   2648.05,  7872652.65,             0
2024-12-20   , SKU-00179, Books      , WH-West   ,          4351,           349,        1617,   2580.13, 11226145.63,             0
2024-12-24   , SKU-00134, Beauty     , WH-Central,          1547,           229,        1177,    560.18,   866598.46,             0
2024-12-02   , SKU-00259, Beauty     , WH-North  ,           253,           105,         632,    718.91,   181884.23,             0
2024-12-24   , SKU-00203, Electronics, WH-North  ,          1642,           187,        1684,    980.78,  1610440.76,             0
2024-07-14   , SKU-00279, Groceries  , WH-East   ,          2622,           123,         396,    970.99,  2545935.78,             0
2024-09-06   , SKU-00140, Office     , WH-South  ,            43,           318,         889,    977.04,    42012.72,             1
2024-06-23   , SKU-00282, Beauty     , WH-North  ,          2185,           234,        1518,   1954.96,  4271587.6 ,             0
2024-11-24   , SKU-00065, Beauty     , WH-South  ,          2313,            99,        1307,   1227.59,  2839415.67,             0
2024-02-23   , SKU-00119, Office     , WH-Central,          2015,           309,         914,    649.3 ,  1308339.5 ,             0
2024-10-26   , SKU-00235, Home       , WH-West   ,          4327,           143,        1365,   1919.16,  8304205.32,             0
2024-12-23   , SKU-00085, Home       , WH-North  ,          2289,           301,        1110,   1061.08,  2428812.12,             0
2024-07-30   , SKU-00234, Clothing   , WH-North  ,          1668,           227,        1342,   1940.93,  3237471.24,             0
2024-03-06   , SKU-00229, Toys       , WH-South  ,          1856,           185,         444,   2564.62,  4759934.72,             0
2024-05-27   , SKU-00210, Toys       , WH-East   ,           519,           254,        1397,   1769.43,   918334.17,             0
2024-09-12   , SKU-00124, Clothing   , WH-West   ,          1969,           233,         277,   1038.4 ,  2044609.6 ,             0
2024-10-01   , SKU-00105, Toys       , WH-East   ,          2010,           420,        1521,    387.91,   779699.1 ,             0
2024-06-21   , SKU-00024, Office     , WH-West   ,          3971,           422,        1109,   1805.64,  7170196.44,             0
2024-02-13   , SKU-00026, Books      , WH-West   ,          1327,           311,        1432,   2017.35,  2677023.45,             0
2024-01-02   , SKU-00058, Electronics, WH-Central,          1298,           206,         531,   2802.96,  3638242.08,             0
2024-04-07   , SKU-00064, Books      , WH-South  ,          2883,           204,         950,   2869.05,  8271471.15,             0
2024-06-25   , SKU-00015, Clothing   , WH-West   ,           507,           330,        1109,   1948.89,   988087.23,             0
2024-03-19   , SKU-00204, Automotive , WH-South  ,          2856,           227,         287,   1091.99,  3118723.44,             0
2024-11-15   , SKU-00219, Beauty     , WH-East   ,          1123,            99,        1009,   1272.81,  1429365.63,             0
2024-03-11   , SKU-00070, Automotive , WH-East   ,           618,           406,         915,   1737.58,  1073824.44,             0
2024-08-01   , SKU-00224, Electronics, WH-West   ,          1074,            79,         548,   2858.37,  3069889.38,             0
2024-08-13   , SKU-00129, Beauty     , WH-West   ,          3970,           487,         743,   2708.89, 10754293.3 ,             0
2024-11-26   , SKU-00041, Sports     , WH-West   ,           279,           368,         795,     29.68,     8280.72,             1
2024-06-16   , SKU-00221, Office     , WH-West   ,          3105,           289,         441,   2422.93,  7523197.65,             0
2024-11-27   , SKU-00218, Groceries  , WH-Central,          4929,           136,        1518,   1013.47,  4995393.63,             0
2024-03-07   , SKU-00265, Groceries  , WH-Central,           846,           312,        1976,   1993.28,  1686314.88,             0
2024-12-28   , SKU-00262, Beauty     , WH-North  ,          1185,           252,        1512,    105.82,   125396.7 ,             0
2024-10-21   , SKU-00154, Clothing   , WH-East   ,          3291,           362,         686,   1640.95,  5400366.45,             0
2024-08-17   , SKU-00114, Books      , WH-East   ,          1218,           488,        1299,    418.43,   509647.74,             0
2024-12-21   , SKU-00220, Home       , WH-West   ,           408,           210,        1814,    982.68,   400933.44,             0
2024-03-25   , SKU-00263, Clothing   , WH-North  ,          3302,           185,        1561,   2648.05,  8743861.1 ,             0
2024-06-20   , SKU-00179, Books      , WH-East   ,          4738,           156,        1172,   2580.13, 12224655.94,             0
2024-10-23   , SKU-00117, Home       , WH-South  ,          4370,           300,         500,   2422.99, 10588466.3 ,             0
2024-11-08   , SKU-00088, Automotive , WH-Central,           795,           412,        1851,    548.15,   435779.25,             0
2024-05-24   , SKU-00007, Automotive , WH-Central,          4879,           400,         448,   2833.11, 13822743.69,             0
2024-03-26   , SKU-00165, Electronics, WH-Central,          2012,           340,         160,    530.56,  1067486.72,             0
2024-06-01   , SKU-00254, Home       , WH-Central,          4582,           464,         640,   1473.77,  6752814.14,             0
2024-06-16   , SKU-00216, Clothing   , WH-South  ,          3524,           417,        1692,   1266.04,  4461524.96,             0
2024-07-11   , SKU-00191, Groceries  , WH-East   ,          4575,           396,        1847,   2093.34,  9577030.5 ,             0
2024-09-12   , SKU-00012, Home       , WH-South  ,          3214,           418,        1680,   2102.66,  6757949.24,             0
2024-04-30   , SKU-00209, Groceries  , WH-East   ,          3210,           127,         213,   1170.76,  3758139.6 ,             0
2024-01-09   , SKU-00246, Beauty     , WH-Central,          2153,           182,         671,    410.52,   883849.56,             0
2024-01-25   , SKU-00120, Toys       , WH-East   ,          4192,           393,        1961,   2605.26, 10921249.92,             0
2024-06-13   , SKU-00295, Groceries  , WH-North  ,          3944,           289,         482,   1295.53,  5109570.32,             0
2024-10-24   , SKU-00078, Books      , WH-West   ,          1176,           230,        1207,   2405.49,  2828856.24,             0
2024-11-30   , SKU-00296, Office     , WH-South  ,           376,           435,        1783,   1589.95,   597821.2 ,             1
2024-10-24   , SKU-00039, Clothing   , WH-West   ,          1804,           217,        1885,   2972.24,  5361920.96,             0
2024-10-30   , SKU-00106, Clothing   , WH-North  ,           746,           240,         750,    531.2 ,   396275.2 ,             0
2024-03-21   , SKU-00105, Toys       , WH-Central,          3037,           291,         209,    387.91,  1178082.67,             0
2024-11-26   , SKU-00088, Automotive , WH-Central,          4397,           304,        1400,    548.15,  2410215.55,             0
2024-12-15   , SKU-00171, Groceries  , WH-South  ,          3185,           136,         844,   1091.95,  3477860.75,             0
2024-06-24   , SKU-00054, Toys       , WH-West   ,           582,           265,        1495,   1005.5 ,   585201.0 ,             0
2024-06-04   , SKU-00233, Toys       , WH-Central,          3327,           243,        1498,    120.42,   400637.34,             0
2024-01-06   , SKU-00086, Electronics, WH-South  ,          2294,           201,         673,    957.41,  2196298.54,             0
2024-08-11   , SKU-00261, Clothing   , WH-Central,          3838,           279,         113,   2289.1 ,  8785565.8 ,             0
2024-05-11   , SKU-00189, Groceries  , WH-South  ,           468,           411,        1260,   1647.26,   770917.68,             0
2024-07-01   , SKU-00008, Clothing   , WH-East   ,          3216,           446,        1481,   1260.57,  4053993.12,             0
2024-12-06   , SKU-00058, Electronics, WH-West   ,          3083,           133,         258,   2802.96,  8641525.68,             0
2024-08-28   , SKU-00178, Groceries  , WH-South  ,          2880,           111,        1771,   2518.39,  7252963.2 ,             0
2024-08-22   , SKU-00097, Electronics, WH-South  ,          4282,           484,         971,    178.14,   762795.48,             0
2024-02-16   , SKU-00246, Beauty     , WH-North  ,           205,           152,         691,    410.52,    84156.6 ,             0
2024-03-01   , SKU-00199, Automotive , WH-North  ,          3660,           481,         443,   1638.18,  5995738.8 ,             0
2024-12-22   , SKU-00225, Groceries  , WH-South  ,          2451,           242,         720,   2102.06,  5152149.06,             0
2024-04-25   , SKU-00263, Clothing   , WH-Central,          2836,           363,         350,   2648.05,  7509869.8 ,             0
2024-01-26   , SKU-00019, Office     , WH-East   ,           623,           296,         711,    330.16,   205689.68,             0
2024-10-27   , SKU-00070, Automotive , WH-West   ,          1897,           376,        1904,   1737.58,  3296189.26,             0
2024-12-25   , SKU-00158, Home       , WH-East   ,          1631,           460,        1876,    190.03,   309938.93,             0
2024-01-12   , SKU-00134, Beauty     , WH-North  ,          4179,           217,         133,    560.18,  2340992.22,             0
2024-03-24   , SKU-00185, Clothing   , WH-East   ,          4240,           331,        1488,    111.26,   471742.4 ,             0
2024-10-05   , SKU-00132, Automotive , WH-South  ,          2888,           355,        1323,    366.01,  1057036.88,             0
2024-05-13   , SKU-00078, Books      , WH-East   ,           201,           206,        1902,   2405.49,   483503.49,             1
2024-10-10   , SKU-00124, Clothing   , WH-East   ,          4563,           104,         557,   1038.4 ,  4738219.2 ,             0
2024-03-19   , SKU-00101, Groceries  , WH-East   ,           300,           390,         847,   1970.55,   591165.0 ,             1
2024-12-01   , SKU-00202, Beauty     , WH-North  ,          4173,            85,        1760,    706.61,  2948683.53,             0
2024-11-27   , SKU-00105, Toys       , WH-South  ,          1319,           292,         144,    387.91,   511653.29,             0
2024-07-02   , SKU-00117, Home       , WH-West   ,          4240,           309,         248,   2422.99, 10273477.6 ,             0
2024-08-10   , SKU-00116, Clothing   , WH-West   ,          1030,            73,        1386,   2863.53,  2949435.9 ,             0
2024-02-19   , SKU-00122, Groceries  , WH-Central,          4751,           377,        1441,    343.49,  1631920.99,             0
2024-07-13   , SKU-00142, Electronics, WH-West   ,          4550,           179,         609,   1235.92,  5623436.0 ,             0
2024-04-12   , SKU-00100, Automotive , WH-East   ,          1695,           181,        1386,   1265.55,  2145107.25,             0
2024-05-13   , SKU-00135, Toys       , WH-West   ,          1672,           290,        1899,   2789.24,  4663609.28,             0
2024-02-09   , SKU-00172, Home       , WH-West   ,          2329,           500,        1284,   2709.84,  6311217.36,             0
2024-11-06   , SKU-00246, Beauty     , WH-North  ,          3853,           359,         974,    410.52,  1581733.56,             0
2024-08-08   , SKU-00114, Books      , WH-Central,          4984,           267,         838,    418.43,  2085455.12,             0
2024-11-20   , SKU-00182, Sports     , WH-North  ,          3359,            86,        1308,    327.57,  1100307.63,             0
2024-03-18   , SKU-00119, Office     , WH-South  ,          3761,           103,        1272,    649.3 ,  2442017.3 ,             0
2024-03-03   , SKU-00177, Beauty     , WH-East   ,          3693,           146,         236,   1587.64,  5863154.52,             0
2024-12-20   , SKU-00118, Office     , WH-East   ,           319,           233,         481,   1613.37,   514665.03,             0
2024-03-25   , SKU-00191, Groceries  , WH-East   ,          2438,           480,        1733,   2093.34,  5103562.92,             0
2024-07-07   , SKU-00087, Automotive , WH-South  ,          4512,           326,        1822,   1203.54,  5430372.48,             0
2024-12-30   , SKU-00034, Sports     , WH-Central,          1687,           475,        1001,   2261.73,  3815538.51,             0
2024-07-28   , SKU-00171, Groceries  , WH-North  ,          3154,           431,        1498,   1091.95,  3444010.3 ,             0
2024-10-17   , SKU-00068, Clothing   , WH-Central,          1729,            57,         306,    716.81,  1239364.49,             0
2024-09-27   , SKU-00297, Office     , WH-South  ,          3502,           249,        1012,   2831.97,  9917558.94,             0
2024-04-27   , SKU-00059, Clothing   , WH-Central,          3818,            97,         589,   1249.94,  4772270.92,             0
2024-02-12   , SKU-00173, Automotive , WH-East   ,          1802,           364,        1903,   2555.55,  4605101.1 ,             0
2024-09-01   , SKU-00182, Sports     , WH-South  ,          3647,           307,        1334,    327.57,  1194647.79,             0
2024-02-06   , SKU-00115, Sports     , WH-Central,          1668,           112,         234,    691.35,  1153171.8 ,             0
2024-01-19   , SKU-00155, Automotive , WH-Central,           943,            54,        1379,    943.15,   889390.45,             0
2024-06-26   , SKU-00181, Clothing   , WH-West   ,          4009,           378,         731,   1352.41,  5421811.69,             0
2024-02-09   , SKU-00094, Books      , WH-South  ,          3317,           386,         932,   1040.75,  3452167.75,             0
2024-05-15   , SKU-00081, Toys       , WH-Central,           658,           196,         456,   1782.9 ,  1173148.2 ,             0
2024-05-19   , SKU-00293, Clothing   , WH-North  ,          3489,           258,        1838,    281.46,   982013.94,             0
2024-01-29   , SKU-00038, Sports     , WH-West   ,          2649,           187,        1179,    307.25,   813905.25,             0
2024-10-09   , SKU-00059, Clothing   , WH-East   ,          3540,           454,        1699,   1249.94,  4424787.6 ,             0
2024-03-23   , SKU-00235, Home       , WH-West   ,           134,           362,         941,   1919.16,   257167.44,             1
2024-07-17   , SKU-00021, Clothing   , WH-East   ,           606,            99,         492,   2572.96,  1559213.76,             0
2024-09-10   , SKU-00165, Electronics, WH-North  ,          4749,           462,         467,    530.56,  2519629.44,             0
2024-12-18   , SKU-00239, Office     , WH-East   ,          3362,           374,        1062,   2929.08,  9847566.96,             0
2024-03-14   , SKU-00104, Books      , WH-Central,          1608,           403,         547,    496.76,   798790.08,             0
2024-10-19   , SKU-00177, Beauty     , WH-Central,          4669,           477,        1774,   1587.64,  7412691.16,             0
2024-04-18   , SKU-00190, Books      , WH-West   ,          1330,           496,        1801,    557.04,   740863.2 ,             0
2024-04-16   , SKU-00221, Office     , WH-North  ,          3356,           146,         630,   2422.93,  8131353.08,             0
2024-12-04   , SKU-00159, Toys       , WH-West   ,           330,           304,        1048,   2347.23,   774585.9 ,             0
2024-09-01   , SKU-00201, Home       , WH-North  ,          4623,           230,        1428,   1590.23,  7351633.29,             0
2024-02-10   , SKU-00009, Toys       , WH-West   ,          1609,           112,        1345,    912.25,  1467810.25,             0
2024-06-05   , SKU-00147, Clothing   , WH-West   ,          3849,           226,         247,   2840.33, 10932430.17,             0
2024-08-08   , SKU-00281, Toys       , WH-West   ,          3298,           318,        1191,   1302.17,  4294556.66,             0
2024-03-13   , SKU-00206, Electronics, WH-South  ,          4658,           239,        1316,   2894.37, 13481975.46,             0
2024-12-26   , SKU-00001, Office     , WH-East   ,          4756,           388,         572,   1847.04,  8784522.24,             0
2024-11-24   , SKU-00248, Groceries  , WH-East   ,          4807,           136,         762,   1600.3 ,  7692642.1 ,             0
2024-08-08   , SKU-00194, Clothing   , WH-South  ,           603,           420,        1521,    215.32,   129837.96,             0
2024-09-08   , SKU-00067, Automotive , WH-West   ,          3973,           156,         549,   2528.21, 10044578.33,             0
2024-01-18   , SKU-00227, Home       , WH-West   ,          2835,            66,        1673,    358.24,  1015610.4 ,             0
2024-08-24   , SKU-00151, Automotive , WH-Central,          3023,           184,         710,   2357.93,  7128022.39,             0
2024-09-21   , SKU-00048, Beauty     , WH-South  ,          4249,           454,         736,   2559.9 , 10877015.1 ,             0
2024-09-12   , SKU-00167, Groceries  , WH-Central,          4827,            57,        1405,    742.03,  3581778.81,             0
2024-12-11   , SKU-00269, Books      , WH-West   ,          2995,            60,        1503,   1810.9 ,  5423645.5 ,             0
2024-08-18   , SKU-00147, Clothing   , WH-South  ,          1424,           471,         550,   2840.33,  4044629.92,             0
2024-05-16   , SKU-00074, Books      , WH-North  ,          4689,           496,        1311,   2916.99, 13677766.11,             0
2024-01-25   , SKU-00238, Home       , WH-South  ,          2730,           381,         558,   2559.8 ,  6988254.0 ,             0
2024-12-26   , SKU-00234, Clothing   , WH-South  ,          3952,           464,        1334,   1940.93,  7670555.36,             0
2024-11-16   , SKU-00078, Books      , WH-South  ,          3531,           383,         324,   2405.49,  8493785.19,             0
2024-09-20   , SKU-00126, Toys       , WH-North  ,           814,           163,        1002,   2211.95,  1800527.3 ,             0
2024-12-29   , SKU-00196, Clothing   , WH-East   ,           638,           147,        1322,   1335.01,   851736.38,             0
2024-11-14   , SKU-00181, Clothing   , WH-East   ,           718,            77,         791,   1352.41,   971030.38,             0
2024-05-04   , SKU-00292, Sports     , WH-Central,          4526,           160,        1121,    124.11,   561721.86,             0
2024-06-21   , SKU-00207, Beauty     , WH-West   ,          2845,           112,         349,   1043.78,  2969554.1 ,             0
2024-11-24   , SKU-00255, Home       , WH-West   ,          1055,           308,         963,   2683.09,  2830659.95,             0
2024-04-30   , SKU-00067, Automotive , WH-South  ,          4045,           451,        1043,   2528.21, 10226609.45,             0
2024-08-16   , SKU-00043, Automotive , WH-East   ,          2680,           481,        1200,   2190.38,  5870218.4 ,             0
2024-06-03   , SKU-00015, Clothing   , WH-West   ,          3162,           468,        1748,   1948.89,  6162390.18,             0
2024-06-19   , SKU-00213, Groceries  , WH-North  ,          2778,           335,        1143,   2119.92,  5889137.76,             0
2024-10-18   , SKU-00150, Beauty     , WH-North  ,          3606,            74,        1199,   1404.54,  5064771.24,             0
2024-03-01   , SKU-00197, Sports     , WH-South  ,          4726,           432,        1400,   2268.27, 10719844.02,             0
2024-03-13   , SKU-00219, Beauty     , WH-North  ,          2589,            57,         517,   1272.81,  3295305.09,             0
2024-03-14   , SKU-00135, Toys       , WH-South  ,          1197,           164,        1723,   2789.24,  3338720.28,             0
2024-10-29   , SKU-00021, Clothing   , WH-South  ,          2018,           109,         179,   2572.96,  5192233.28,             0
2024-02-13   , SKU-00245, Home       , WH-North  ,           181,           411,        1006,   2414.23,   436975.63,             1
2024-01-11   , SKU-00005, Books      , WH-South  ,          1712,           440,        1794,   2503.34,  4285718.08,             0
2024-08-28   , SKU-00276, Office     , WH-North  ,          3124,           217,        1796,   2186.78,  6831500.72,             0
2024-03-15   , SKU-00113, Automotive , WH-East   ,          1988,           239,        1090,   1608.08,  3196863.04,             0
2024-10-02   , SKU-00189, Groceries  , WH-North  ,          4903,           370,        1988,   1647.26,  8076515.78,             0
2024-07-27   , SKU-00071, Books      , WH-North  ,          4849,           194,        1830,     21.46,   104059.54,             0
2024-09-26   , SKU-00132, Automotive , WH-Central,          4802,           394,        1512,    366.01,  1757580.02,             0
2024-01-11   , SKU-00078, Books      , WH-East   ,          4405,            78,        1942,   2405.49, 10596183.45,             0
2024-11-30   , SKU-00115, Sports     , WH-Central,          4648,           464,        1164,    691.35,  3213394.8 ,             0
2024-05-02   , SKU-00243, Sports     , WH-Central,          2118,           482,        1047,    769.7 ,  1630224.6 ,             0
2024-04-01   , SKU-00168, Automotive , WH-North  ,          1406,           392,         907,   1414.48,  1988758.88,             0
2024-09-23   , SKU-00041, Sports     , WH-East   ,          3893,           475,         393,     29.68,   115544.24,             0
2024-03-04   , SKU-00127, Office     , WH-East   ,          2076,           317,         582,   2458.86,  5104593.36,             0
2024-12-14   , SKU-00059, Clothing   , WH-North  ,          4097,           289,        1743,   1249.94,  5121004.18,             0
2024-10-04   , SKU-00206, Electronics, WH-East   ,          1520,           282,        1422,   2894.37,  4399442.4 ,             0
2024-03-27   , SKU-00212, Beauty     , WH-West   ,          3981,           474,         959,    797.72,  3175723.32,             0
2024-01-26   , SKU-00171, Groceries  , WH-South  ,          3601,           380,        1654,   1091.95,  3932111.95,             0
2024-02-06   , SKU-00197, Sports     , WH-West   ,          3495,           145,        1646,   2268.27,  7927603.65,             0
2024-04-14   , SKU-00045, Groceries  , WH-Central,           855,           162,        1802,   2664.46,  2278113.3 ,             0
2024-01-14   , SKU-00197, Sports     , WH-West   ,          1406,           407,        1031,   2268.27,  3189187.62,             0
2024-06-30   , SKU-00181, Clothing   , WH-South  ,          3696,           125,         911,   1352.41,  4998507.36,             0
2024-10-26   , SKU-00049, Clothing   , WH-East   ,          1754,           200,         259,    407.0 ,   713878.0 ,             0
2024-03-24   , SKU-00062, Clothing   , WH-South  ,          4820,           435,         656,    405.29,  1953497.8 ,             0
2024-12-22   , SKU-00047, Groceries  , WH-Central,           448,           334,         232,   2101.92,   941660.16,             0
2024-11-07   , SKU-00253, Toys       , WH-Central,          3919,           295,         529,    325.27,  1274733.13,             0
2024-01-10   , SKU-00098, Clothing   , WH-West   ,          4632,           153,         976,   2977.32, 13790946.24,             0
2024-07-10   , SKU-00179, Books      , WH-North  ,           555,           373,         415,   2580.13,  1431972.15,             0
2024-04-30   , SKU-00249, Groceries  , WH-West   ,          2613,           445,        1750,    963.46,  2517520.98,             0
2024-03-20   , SKU-00099, Automotive , WH-North  ,           613,           254,        1996,   1606.68,   984894.84,             0
2024-04-23   , SKU-00138, Beauty     , WH-West   ,          2869,           117,        1098,   1116.02,  3201861.38,             0
2024-08-26   , SKU-00049, Clothing   , WH-East   ,           486,           431,        1669,    407.0 ,   197802.0 ,             0
2024-05-11   , SKU-00148, Home       , WH-West   ,          3346,           301,        1608,    106.52,   356415.92,             0
2024-02-16   , SKU-00206, Electronics, WH-South  ,          3347,           486,        1341,   2894.37,  9687456.39,             0
2024-01-03   , SKU-00070, Automotive , WH-East   ,          1549,           162,         337,   1737.58,  2691511.42,             0
