sku_id,description,category,criticality,uom,unit_cost_usd,currency,shelf_life_days
B2B-0FB69D23,Lip Seal 150,Seal & Gasket,C,EA,10.0,USD,730
B2B-0FCFAD40,Torque Limiter 139,Coupling,C,EA,307.0,USD,2555
B2B-0FF8FFA4,Lubrication Nipple 38,Lubrication,C,EA,26.0,USD,180
B2B-107EFC1C,Rotary Seal Kit 167,Seal & Gasket,C,EA,20.0,USD,730
B2B-108C769F,Angular Contact Bearing 99,Bearing,C,EA,168.0,USD,1825
B2B-10C8B88C,Angular Contact Bearing 44,Bearing,B,EA,162.5,USD,1825
B2B-110AF049,Toothed Belt 87,Drive Belt,C,EA,52.5,USD,1095
B2B-112A7A30,Servo Drive 88,Electrical,B,EA,2155.0,USD,1825
B2B-112D80FF,Angular Contact Bearing 23,Bearing,B,EA,114.0,USD,1825
B2B-11B2A747,Angular Contact Bearing 116,Bearing,B,EA,125.0,USD,1825
B2B-11EC40BA,Air Filter Cartridge 92,Filter,C,EA,37.0,USD,365
B2B-11F00043,Rotary Seal Kit 16,Seal & Gasket,C,EA,20.0,USD,730
B2B-11F9D853,Flat Belt 94,Drive Belt,B,EA,61.0,USD,1095
B2B-1228D9AB,Conveyor Belt Section 62,Drive Belt,C,EA,85.0,USD,1095
B2B-12329DAA,Flange Gasket 198,Seal & Gasket,B,EA,22.0,USD,730
B2B-126DED1C,Jaw Coupling 161,Coupling,B,EA,485.0,USD,2555
B2B-135AD84E,Flexible Coupling 49,Coupling,A,EA,336.0,USD,2555
B2B-13C90FB6,Food Grade Grease 13,Lubrication,C,EA,25.0,USD,180
B2B-1402824E,Pressure Transmitter 45,Sensor,C,EA,711.0,USD,1825
B2B-14284CA2,PLC Input Module 10,Electrical,C,EA,3397.0,USD,1825
B2B-142D3777,Cylindrical Roller Bearing 56,Bearing,B,EA,97.0,USD,1825
B2B-14601675,Gear Oil 134,Lubrication,B,EA,23.0,USD,180
B2B-1487F8B3,Conveyor Belt Section 72,Drive Belt,C,EA,63.0,USD,1095
B2B-148FAF9F,Food Grade Grease 85,Lubrication,C,EA,24.0,USD,180
B2B-1508C522,Hex Bolt 11,Fastener,C,EA,1.0,USD,3650
B2B-151302E4,Lip Seal 88,Seal & Gasket,C,EA,18.0,USD,730
B2B-154C3938,Chain Lubricant 176,Lubrication,C,EA,31.0,USD,180
B2B-15FE9FAE,Grease Cartridge 91,Lubrication,B,EA,26.0,USD,180
B2B-1777BD2C,Gear Coupling 28,Coupling,C,EA,407.0,USD,2555
B2B-1881FA7E,Socket Head Screw 131,Fastener,B,EA,1.0,USD,3650
B2B-188BC5A2,Contactor 93,Electrical,C,EA,1135.0,USD,1825
B2B-18C515D1,Lock Washer Set 96,Fastener,B,EA,7.5,USD,3650
B2B-19107219,Tapered Roller Bearing 15,Bearing,C,EA,95.0,USD,1825
B2B-1972A9E4,Socket Head Screw 13,Fastener,C,EA,5.0,USD,3650
B2B-19824648,Air Filter Cartridge 133,Filter,C,EA,37.0,USD,365
B2B-1A99AF72,Rotary Seal Kit 80,Seal & Gasket,C,EA,16.0,USD,730
B2B-1AFEC9F3,Lubrication Nipple 174,Lubrication,B,EA,26.5,USD,180
B2B-1B16B6A1,Air Filter Cartridge 180,Filter,C,EA,45.0,USD,365
B2B-1B29E2D8,Conveyor Belt Section 17,Drive Belt,C,EA,51.0,USD,1095
B2B-1B6E9894,Retaining Ring 186,Fastener,C,EA,8.0,USD,3650
B2B-1BC9D6A5,Rotary Seal Kit 153,Seal & Gasket,C,EA,19.0,USD,730
B2B-1BF419CE,Membrane Filter 121,Filter,B,EA,40.0,USD,365
B2B-1C4F216C,Rotary Seal Kit 51,Seal & Gasket,C,EA,14.0,USD,730
B2B-1C50B0B6,Lock Washer Set 105,Fastener,C,EA,1.0,USD,3650
B2B-1C51C78A,Pressure Transmitter 170,Sensor,B,EA,619.0,USD,1825
B2B-1D93FCD8,Motor Starter 107,Electrical,C,EA,7143.0,USD,1825
B2B-1DBA4393,Stud Assembly 87,Fastener,C,EA,7.0,USD,3650
B2B-1DE3A766,Gear Oil 76,Lubrication,C,EA,24.0,USD,180
B2B-1DEDF284,Rotary Seal Kit 58,Seal & Gasket,C,EA,20.5,USD,730
B2B-1EA21CFA,Shaft Collar Assembly 170,Coupling,B,EA,384.0,USD,2555
B2B-1EC461E1,Timing Belt 182,Drive Belt,A,EA,72.0,USD,1095
B2B-1F2F865F,Universal Joint 166,Coupling,C,EA,319.0,USD,2555
B2B-1F536C46,Hydraulic Filter Element 135,Filter,C,EA,34.0,USD,365
B2B-1FDD5AD2,Stud Assembly 137,Fastener,B,EA,1.0,USD,3650
B2B-206973A6,Hydraulic Filter Element 20,Filter,C,EA,39.0,USD,365
B2B-2114DFC1,Lip Seal 138,Seal & Gasket,C,EA,21.0,USD,730
B2B-22D8CF65,Grease Cartridge 105,Lubrication,C,EA,31.0,USD,180
B2B-23F36FE3,Flange Gasket 24,Seal & Gasket,C,EA,19.0,USD,730
B2B-2475817F,Spherical Roller Bearing 30,Bearing,C,EA,196.0,USD,1825
B2B-24C357C9,Angular Contact Bearing 73,Bearing,C,EA,256.0,USD,1825
B2B-24D0030F,Lock Washer Set 125,Fastener,C,EA,3.0,USD,3650
B2B-253A658B,Hydraulic Fluid 118,Lubrication,C,EA,30.0,USD,180
B2B-2582DD16,Pillow Block Unit 44,Bearing,B,EA,141.0,USD,1825
B2B-259F02BD,Retaining Ring 79,Fastener,C,EA,4.0,USD,3650
B2B-25BE7340,Tapered Roller Bearing 170,Bearing,B,EA,234.0,USD,1825
B2B-25C42D53,Pressure Transmitter 128,Sensor,C,EA,899.5,USD,1825
B2B-25DE09FB,Jaw Coupling 180,Coupling,B,EA,350.0,USD,2555
B2B-25F67750,Contactor 109,Electrical,C,EA,1150.0,USD,1825
B2B-2652ACBF,Conveyor Belt Section 82,Drive Belt,C,EA,72.0,USD,1095
B2B-26A01ECD,Air Filter Cartridge 129,Filter,C,EA,43.0,USD,365
B2B-26F7A0A5,Cylindrical Roller Bearing 164,Bearing,C,EA,260.0,USD,1825
B2B-278D7730,Coalescing Element 53,Filter,A,EA,49.0,USD,365
B2B-27D8553C,Flat Belt 188,Drive Belt,B,EA,81.0,USD,1095
B2B-282422D6,Pressure Transmitter 146,Sensor,C,EA,652.0,USD,1825
B2B-28D8F809,Gear Coupling 86,Coupling,C,EA,527.0,USD,2555
B2B-291AA5BF,Pillow Block Unit 104,Bearing,B,EA,198.0,USD,1825
B2B-292C9EF8,Frequency Inverter 72,Electrical,C,EA,3617.0,USD,1825
B2B-298BFCBA,Pillow Block Unit 140,Bearing,C,EA,174.0,USD,1825
B2B-29C7B436,Jaw Coupling 115,Coupling,C,EA,278.0,USD,2555
B2B-2A60287F,CIP Gasket EPDM 106,Seal & Gasket,B,EA,19.0,USD,730
B2B-2A974E84,O-Ring NBR 77,Seal & Gasket,C,EA,11.5,USD,730
B2B-2AF3C44F,Shaft Seal 134,Seal & Gasket,B,EA,14.0,USD,730
B2B-2B7366FA,Universal Joint 166,Coupling,C,EA,302.0,USD,2555
B2B-2B74262C,Breather Filter 73,Filter,C,EA,46.0,USD,365
B2B-2C274F12,Temperature Probe 137,Sensor,C,EA,896.0,USD,1825
B2B-2C668EF8,Contactor 57,Electrical,B,EA,1473.0,USD,1825
B2B-2C7B4BFB,Universal Joint 110,Coupling,C,EA,434.0,USD,2555
B2B-2D3421AE,Toothed Belt 128,Drive Belt,C,EA,87.0,USD,1095
B2B-2D5004B4,Filter Candle 123,Filter,C,EA,43.0,USD,365
B2B-2D6CE968,Food Grade Grease 34,Lubrication,C,EA,25.0,USD,180
B2B-2DB1DEB4,Spherical Roller Bearing 81,Bearing,C,EA,202.0,USD,1825
B2B-2DBBCF0E,Spherical Roller Bearing 166,Bearing,C,EA,214.0,USD,1825
B2B-2DC805BB,Retaining Ring 50,Fastener,C,EA,5.0,USD,3650
B2B-2E230974,Gear Coupling 75,Coupling,C,EA,422.0,USD,2555
B2B-2E302679,Threaded Rod 29,Fastener,B,EA,4.0,USD,3650
B2B-2E55A0E2,Spherical Roller Bearing 130,Bearing,C,EA,98.0,USD,1825
B2B-2EF0C560,Pillow Block Unit 156,Bearing,C,EA,248.0,USD,1825
B2B-300A5037,Jaw Coupling 103,Coupling,C,EA,351.0,USD,2555
B2B-300D55DD,O-Ring NBR 26,Seal & Gasket,C,EA,10.0,USD,730
B2B-3035CEDE,CIP Gasket EPDM 131,Seal & Gasket,A,EA,16.0,USD,730
B2B-30440C1B,V-Belt 100,Drive Belt,C,EA,63.0,USD,1095
B2B-31437C68,Rotary Seal Kit 116,Seal & Gasket,C,EA,15.0,USD,730
B2B-31B48C59,Shaft Collar Assembly 13,Coupling,B,EA,297.0,USD,2555
B2B-31DFDD86,Flange Gasket 79,Seal & Gasket,A,EA,16.0,USD,730
B2B-31ECC143,Timing Belt 114,Drive Belt,C,EA,52.0,USD,1095
B2B-31ED8A8A,Contactor 182,Electrical,B,EA,2552.0,USD,1825
B2B-32014988,Hydraulic Filter Element 98,Filter,C,EA,38.0,USD,365
B2B-322BC141,O-Ring NBR 43,Seal & Gasket,C,EA,11.0,USD,730
B2B-3268AEEF,Toothed Belt 148,Drive Belt,B,EA,55.0,USD,1095
B2B-32844696,V-Belt 177,Drive Belt,B,EA,53.5,USD,1095
B2B-32F6CBEA,Photoelectric Sensor 154,Sensor,C,EA,919.0,USD,1825
B2B-32F8EB3B,Tapered Roller Bearing 152,Bearing,C,EA,179.5,USD,1825
B2B-33166200,Threaded Rod 57,Fastener,C,EA,3.0,USD,3650
B2B-33406034,Threaded Rod 71,Fastener,C,EA,3.0,USD,3650
B2B-33CD1137,Lip Seal 152,Seal & Gasket,B,EA,20.0,USD,730
B2B-340ED9DD,Hydraulic Filter Element 136,Filter,C,EA,44.0,USD,365
B2B-34946AC4,Filter Candle 56,Filter,C,EA,48.0,USD,365
B2B-35004849,Contactor 176,Electrical,B,EA,2579.5,USD,1825
B2B-35268622,Grease Cartridge 30,Lubrication,B,EA,23.0,USD,180
B2B-35A8EE8F,O-Ring NBR 109,Seal & Gasket,B,EA,14.0,USD,730
B2B-35D8C78F,V-Belt 134,Drive Belt,C,EA,80.0,USD,1095
B2B-35F1E9F3,Contactor 84,Electrical,C,EA,4250.0,USD,1825
B2B-3611FBEA,Stud Assembly 187,Fastener,B,EA,3.0,USD,3650
B2B-368C647F,Cylindrical Roller Bearing 147,Bearing,C,EA,200.0,USD,1825
B2B-376D8078,Shaft Collar Assembly 25,Coupling,C,EA,480.0,USD,2555
B2B-37A67579,Motor Starter 83,Electrical,C,EA,9141.0,USD,1825
B2B-381E97F9,Flexible Coupling 199,Coupling,B,EA,462.0,USD,2555
B2B-392D5F2B,Jaw Coupling 137,Coupling,B,EA,288.0,USD,2555
B2B-3955B656,Pillow Block Unit 179,Bearing,C,EA,138.0,USD,1825
B2B-39736DC1,CIP Gasket EPDM 163,Seal & Gasket,C,EA,22.0,USD,730
B2B-39E815CE,Tapered Roller Bearing 50,Bearing,C,EA,105.5,USD,1825
B2B-3A1BBB38,Socket Head Screw 78,Fastener,C,EA,2.0,USD,3650
B2B-3A7BE5BE,Grease Cartridge 19,Lubrication,C,EA,27.0,USD,180
B2B-3ADCAEE1,Socket Head Screw 23,Fastener,B,EA,1.0,USD,3650
B2B-3AF021E7,Shaft Seal 19,Seal & Gasket,C,EA,13.0,USD,730
B2B-3B04AEC3,Universal Joint 111,Coupling,B,EA,303.0,USD,2555
B2B-3B0B4D69,Membrane Filter 158,Filter,C,EA,39.0,USD,365
B2B-3B87A90B,Level Sensor 10,Sensor,C,EA,619.0,USD,1825
B2B-3B967590,Safety Relay 148,Electrical,B,EA,1581.0,USD,1825
B2B-3B99A789,Food Grade Grease 138,Lubrication,B,EA,22.0,USD,180
B2B-3BE52C4E,Level Sensor 149,Sensor,C,EA,745.0,USD,1825
B2B-3C37E0A7,Poly-V Belt 132,Drive Belt,B,EA,62.0,USD,1095
B2B-3C3A31AD,Universal Joint 177,Coupling,B,EA,383.0,USD,2555
B2B-3C70A88B,Frequency Inverter 18,Electrical,C,EA,10887.0,USD,1825
B2B-3C78A64F,V-Belt 73,Drive Belt,C,EA,84.0,USD,1095
B2B-3CE77B12,Shaft Seal 29,Seal & Gasket,C,EA,10.0,USD,730
B2B-3D1F4808,Rotary Seal Kit 21,Seal & Gasket,C,EA,11.0,USD,730
B2B-3D285BAB,Poly-V Belt 48,Drive Belt,A,EA,58.0,USD,1095
B2B-3ECB9008,Photoelectric Sensor 182,Sensor,C,EA,763.0,USD,1825
B2B-3EE6799E,V-Belt 156,Drive Belt,C,EA,75.0,USD,1095
B2B-3F23B0C1,Lock Washer Set 112,Fastener,B,EA,6.0,USD,3650
B2B-3F3973A4,Coalescing Element 178,Filter,C,EA,38.0,USD,365
B2B-3F72B874,Lubrication Nipple 51,Lubrication,C,EA,27.0,USD,180
B2B-3F7DB904,Gear Oil 157,Lubrication,C,EA,26.0,USD,180
B2B-3FC0E5B1,Retaining Ring 90,Fastener,C,EA,2.0,USD,3650
B2B-40505780,Hex Bolt 62,Fastener,C,EA,4.0,USD,3650
B2B-40CED9B2,Cylindrical Roller Bearing 144,Bearing,C,EA,112.0,USD,1825
B2B-4100CC04,Level Sensor 25,Sensor,C,EA,633.0,USD,1825
B2B-410C7C12,Temperature Probe 112,Sensor,C,EA,576.0,USD,1825
B2B-411D357F,Pillow Block Unit 197,Bearing,C,EA,108.0,USD,1825
B2B-4142FA05,CIP Gasket EPDM 144,Seal & Gasket,C,EA,17.0,USD,730
B2B-417AB46C,Air Filter Cartridge 112,Filter,C,EA,39.0,USD,365
B2B-42098A0D,Pressure Transmitter 159,Sensor,C,EA,938.5,USD,1825
B2B-426C7CF0,Deep Groove Ball Bearing 71,Bearing,C,EA,263.0,USD,1825
B2B-42897AE3,Deep Groove Ball Bearing 93,Bearing,C,EA,225.0,USD,1825
B2B-4293D2AE,Air Filter Cartridge 186,Filter,B,EA,40.0,USD,365
B2B-430460BE,Hex Bolt 55,Fastener,C,EA,9.0,USD,3650
B2B-43339D86,Timing Belt 38,Drive Belt,C,EA,79.0,USD,1095
B2B-433F8CF6,Breather Filter 157,Filter,B,EA,38.0,USD,365
B2B-436C48C9,Pillow Block Unit 194,Bearing,B,EA,138.0,USD,1825
B2B-43C93C0C,Deep Groove Ball Bearing 138,Bearing,A,EA,119.0,USD,1825
B2B-44181DD5,Hydraulic Fluid 196,Lubrication,B,EA,23.0,USD,180
B2B-441FD0A5,Poly-V Belt 49,Drive Belt,B,EA,74.0,USD,1095
B2B-44FEED02,Proximity Sensor 178,Sensor,B,EA,561.0,USD,1825
B2B-45042E33,Shaft Seal 57,Seal & Gasket,C,EA,11.0,USD,730
B2B-452A3DF7,Timing Belt 75,Drive Belt,C,EA,80.5,USD,1095
B2B-45558E95,Filter Candle 103,Filter,B,EA,43.0,USD,365
B2B-4556DA95,Conveyor Belt Section 47,Drive Belt,B,EA,50.5,USD,1095
B2B-455B3B76,Toothed Belt 108,Drive Belt,C,EA,70.0,USD,1095
B2B-45B8A6F6,Air Filter Cartridge 190,Filter,C,EA,38.0,USD,365
B2B-45BB978B,Servo Drive 174,Electrical,B,EA,1218.0,USD,1825
B2B-46502E03,Spherical Roller Bearing 18,Bearing,A,EA,250.0,USD,1825
B2B-4723F389,Toothed Belt 146,Drive Belt,C,EA,52.0,USD,1095
B2B-47363D01,Motor Starter 173,Electrical,B,EA,1476.0,USD,1825
B2B-47559277,Stud Assembly 73,Fastener,C,EA,9.0,USD,3650
B2B-47A6976D,Lip Seal 174,Seal & Gasket,C,EA,16.0,USD,730
B2B-4830685F,Cylindrical Roller Bearing 70,Bearing,C,EA,99.0,USD,1825
B2B-4892A1C9,Threaded Rod 166,Fastener,C,EA,2.0,USD,3650
B2B-48DB5CF5,Cylindrical Roller Bearing 172,Bearing,B,EA,143.0,USD,1825
B2B-4902CB4F,Torque Limiter 111,Coupling,C,EA,537.0,USD,2555
B2B-49234388,Spherical Roller Bearing 40,Bearing,C,EA,96.0,USD,1825
B2B-492ECBD6,Universal Joint 193,Coupling,C,EA,333.0,USD,2555
B2B-498814A9,Lubrication Nipple 159,Lubrication,C,EA,22.0,USD,180
B2B-499D44F5,Threaded Rod 28,Fastener,C,EA,9.0,USD,3650
B2B-49D0FAF4,Membrane Filter 104,Filter,C,EA,41.0,USD,365
B2B-4A184D34,Air Filter Cartridge 22,Filter,B,EA,40.0,USD,365
B2B-4A2CE0ED,Membrane Filter 69,Filter,C,EA,40.0,USD,365
B2B-4A3431AF,Deep Groove Ball Bearing 100,Bearing,C,EA,173.0,USD,1825
B2B-4A72795B,Spherical Roller Bearing 31,Bearing,C,EA,209.5,USD,1825
B2B-4A80ACE9,O-Ring NBR 161,Seal & Gasket,C,EA,11.0,USD,730
B2B-4AA7544F,Coalescing Element 32,Filter,C,EA,33.0,USD,365
B2B-4AAE9058,Stud Assembly 15,Fastener,C,EA,1.0,USD,3650
B2B-4AFE4D1D,O-Ring NBR 109,Seal & Gasket,B,EA,15.0,USD,730
B2B-4AFED08F,Hex Bolt 58,Fastener,B,EA,1.0,USD,3650
B2B-4B21CCDC,Contactor 28,Electrical,B,EA,1856.0,USD,1825
B2B-4B22F204,O-Ring NBR 125,Seal & Gasket,B,EA,20.0,USD,730
B2B-4B9F55A2,Temperature Probe 186,Sensor,B,EA,584.0,USD,1825
B2B-4C50719D,Gear Oil 104,Lubrication,B,EA,24.0,USD,180
B2B-4C7629DA,Servo Drive 176,Electrical,C,EA,2617.0,USD,1825
B2B-4CBD402C,Level Sensor 91,Sensor,C,EA,778.5,USD,1825
B2B-4CFCA4E7,Breather Filter 40,Filter,B,EA,37.0,USD,365
B2B-4D04368F,Coalescing Element 108,Filter,B,EA,34.0,USD,365
B2B-4D5F5A6B,Universal Joint 173,Coupling,C,EA,443.0,USD,2555
B2B-4E316E20,Angular Contact Bearing 194,Bearing,A,EA,263.0,USD,1825
B2B-4E40FFE0,Filter Candle 93,Filter,C,EA,46.0,USD,365
B2B-4E56653A,PLC Input Module 68,Electrical,B,EA,6368.0,USD,1825
B2B-4EB8E1FA,Hydraulic Fluid 187,Lubrication,B,EA,30.0,USD,180
B2B-4F26750A,Level Sensor 162,Sensor,B,EA,806.0,USD,1825
B2B-4F9158D6,Deep Groove Ball Bearing 69,Bearing,C,EA,225.5,USD,1825
B2B-4F976EE2,Lubrication Nipple 88,Lubrication,C,EA,22.0,USD,180
B2B-4FC5BBFA,Shaft Collar Assembly 71,Coupling,B,EA,316.0,USD,2555
B2B-4FC72CD1,Spherical Roller Bearing 33,Bearing,C,EA,123.0,USD,1825
B2B-5002E9A3,Conveyor Belt Section 19,Drive Belt,C,EA,54.0,USD,1095
B2B-50160261,Level Sensor 85,Sensor,C,EA,867.0,USD,1825
B2B-50167218,Food Grade Grease 125,Lubrication,C,EA,27.0,USD,180
B2B-50C8A2FE,Chain Lubricant 149,Lubrication,C,EA,22.5,USD,180
B2B-512AFA6A,Hydraulic Fluid 49,Lubrication,C,EA,27.0,USD,180
B2B-513FA697,Retaining Ring 138,Fastener,C,EA,7.0,USD,3650
B2B-51515109,Toothed Belt 19,Drive Belt,C,EA,68.0,USD,1095
B2B-51A24FC7,Breather Filter 165,Filter,B,EA,35.0,USD,365
B2B-52124577,Temperature Probe 117,Sensor,C,EA,622.5,USD,1825
B2B-5292BB69,Lip Seal 84,Seal & Gasket,C,EA,13.5,USD,730
B2B-529E8670,Cylindrical Roller Bearing 154,Bearing,C,EA,262.0,USD,1825
B2B-52D3C1AF,Socket Head Screw 186,Fastener,C,EA,5.0,USD,3650
B2B-5304017D,Lip Seal 159,Seal & Gasket,C,EA,13.0,USD,730
B2B-536E9E44,Pillow Block Unit 127,Bearing,B,EA,114.0,USD,1825
B2B-53ADD74B,Conveyor Belt Section 66,Drive Belt,C,EA,54.0,USD,1095
B2B-53AEBFBA,Lip Seal 135,Seal & Gasket,B,EA,13.0,USD,730
B2B-5416358B,Lip Seal 57,Seal & Gasket,B,EA,20.0,USD,730
B2B-5492692B,Flat Belt 180,Drive Belt,C,EA,61.0,USD,1095
B2B-55059136,Poly-V Belt 113,Drive Belt,C,EA,83.0,USD,1095
B2B-55241C74,Chain Lubricant 88,Lubrication,C,EA,30.0,USD,180
B2B-5586A63A,Poly-V Belt 120,Drive Belt,C,EA,74.0,USD,1095
B2B-55993977,CIP Gasket EPDM 136,Seal & Gasket,C,EA,21.0,USD,730
B2B-5653B1D4,PLC Input Module 131,Electrical,C,EA,8464.0,USD,1825
B2B-5671BD0A,Safety Relay 119,Electrical,C,EA,1942.0,USD,1825
B2B-56AB256E,Spherical Roller Bearing 174,Bearing,C,EA,107.5,USD,1825
B2B-56DF157C,Socket Head Screw 77,Fastener,B,EA,2.0,USD,3650
B2B-574206A9,Tapered Roller Bearing 34,Bearing,C,EA,248.0,USD,1825
B2B-57518D0F,Frequency Inverter 154,Electrical,C,EA,1221.5,USD,1825
B2B-57674178,Cylindrical Roller Bearing 107,Bearing,B,EA,143.0,USD,1825
B2B-576825E5,Breather Filter 40,Filter,C,EA,47.0,USD,365
B2B-5808D846,Angular Contact Bearing 98,Bearing,B,EA,155.0,USD,1825
B2B-588968E5,Food Grade Grease 135,Lubrication,C,EA,22.0,USD,180
B2B-58A74AFC,Retaining Ring 31,Fastener,C,EA,5.0,USD,3650
B2B-58B1BFE0,Poly-V Belt 194,Drive Belt,C,EA,53.5,USD,1095
B2B-58B21ADB,Photoelectric Sensor 184,Sensor,C,EA,915.0,USD,1825
B2B-58DF4920,Filter Candle 40,Filter,A,EA,41.0,USD,365
B2B-5932C58C,Hydraulic Filter Element 159,Filter,B,EA,32.0,USD,365
B2B-595AE33B,V-Belt 57,Drive Belt,B,EA,87.0,USD,1095
B2B-59640EEF,Flange Gasket 152,Seal & Gasket,C,EA,10.0,USD,730
B2B-599B7967,Hydraulic Filter Element 130,Filter,C,EA,49.0,USD,365
B2B-59AF0286,Stud Assembly 47,Fastener,C,EA,5.0,USD,3650
B2B-59B4522E,Pillow Block Unit 98,Bearing,A,EA,241.5,USD,1825
B2B-59BEB417,Membrane Filter 42,Filter,C,EA,45.0,USD,365
B2B-5A066E11,Stud Assembly 91,Fastener,A,EA,4.0,USD,3650
B2B-5A52EC44,PLC Input Module 165,Electrical,B,EA,2245.0,USD,1825
B2B-5A8C95BA,Jaw Coupling 104,Coupling,C,EA,419.0,USD,2555
B2B-5AA3976E,Poly-V Belt 164,Drive Belt,C,EA,91.0,USD,1095
B2B-5AF5C3C6,Lock Washer Set 77,Fastener,C,EA,8.0,USD,3650
B2B-5B018433,Shaft Collar Assembly 196,Coupling,B,EA,431.5,USD,2555
B2B-5B101B3D,Threaded Rod 13,Fastener,C,EA,1.0,USD,3650
B2B-5B3B7057,Food Grade Grease 86,Lubrication,C,EA,22.0,USD,180
B2B-5B481946,Flow Meter 94,Sensor,C,EA,980.0,USD,1825
B2B-5BC556C6,Rotary Seal Kit 58,Seal & Gasket,B,EA,12.5,USD,730
