sku_id,city_id,pattern,method,n_periods,forecast_q25,forecast_q50,forecast_q75,wmape_backtest,confidence_pattern,confidence_final,lead_time_days,demand_lead_time,safety_stock,inventory_min,issue_rate,forecast_model,forecast_source,needs_review
MRO-40022,NAVA,Estacional,holt_winters,72,29.26,33.22,37.19,0.142,0.94,0.94,10.6,11.72,10.41,23,1.0,36.62,modelo+estadistico,0
MRO-40022,OBRE,Estable,moving_average,72,14.92,17.81,20.7,0.252,0.86,0.86,10.6,6.28,5.6,12,0.5093,17.62,modelo+estadistico,0
MRO-50008,NAVA,Volatil,moving_median,72,1.46,2.21,2.21,0.389,0.7,0.59,10.6,0.78,1.23,3,0.0782,2.42,modelo+estadistico,0
MRO-50008,OBRE,Volatil,moving_median,72,1.16,1.91,2.66,1.0,0.75,0.49,10.6,0.67,0.89,2,0.0412,2.82,modelo+estadistico,1
MRO-50009,NAVA,Volatil,moving_median,72,5.2,5.95,6.7,0.466,0.74,0.63,10.6,2.1,3.02,6,0.1431,6.9,modelo+estadistico,0
MRO-50009,OBRE,Volatil,moving_median,72,1.08,2.08,3.08,0.958,0.66,0.43,10.6,0.73,1.6,3,0.0616,2.15,modelo+estadistico,1
MRO-60015,NAVA,Estable,moving_average,72,4.74,5.82,6.9,0.23,0.9,0.9,10.6,2.05,2.74,5,0.2171,5.98,modelo+estadistico,0
MRO-60015,OBRE,Volatil,moving_median,72,1.14,3.14,4.39,0.611,0.7,0.45,10.6,1.11,1.37,3,0.0949,2.78,modelo+estadistico,1
MRO-60016,NAVA,Volatil,moving_median,72,2.02,3.27,3.77,0.522,0.56,0.36,10.6,1.15,1.75,3,0.0926,3.04,modelo+estadistico,1
MRO-60016,OBRE,Volatil,moving_median,72,1.2,1.7,2.2,0.5,0.62,0.53,10.6,0.6,1.04,2,0.0398,1.91,modelo+estadistico,0
MRO-70004,NAVA,Estable,moving_average,72,21.13,23.18,25.22,0.12,0.9,0.9,10.6,8.17,4.81,13,0.7889,23.69,modelo+estadistico,0
MRO-70004,OBRE,Estable,moving_average,72,9.22,11.23,13.24,0.238,0.88,0.88,10.6,3.96,2.48,7,0.313,10.79,modelo+estadistico,0
MRO-70005,NAVA,Estable,moving_average,72,75.41,92.7,110.0,0.235,0.98,0.98,10.6,32.69,17.6,51,1.0,86.41,modelo+estadistico,0
MRO-70005,OBRE,Estable,moving_average,72,34.35,39.78,45.22,0.182,0.88,0.88,10.6,14.03,8.63,23,0.4407,39.07,modelo+estadistico,0
MRO-80001,NAVA,Estacional,holt_winters,72,5.36,6.62,7.88,0.305,0.91,0.77,10.6,2.33,3.5,6,0.2088,6.9,modelo+estadistico,0
MRO-80001,OBRE,Volatil,moving_median,72,3.11,4.36,5.61,0.643,0.71,0.46,10.6,1.54,2.05,4,0.0977,5.22,modelo+estadistico,1
MRO-80002,NAVA,Estable,moving_average,72,5.61,6.87,8.12,0.333,0.87,0.74,10.6,2.42,2.55,5,0.1727,6.57,modelo+estadistico,0
MRO-80002,OBRE,Volatil,moving_median,72,1.28,1.78,3.03,0.615,0.67,0.44,10.6,0.63,1.3,2,0.0713,2.06,modelo+estadistico,1
MRO-90011,NAVA,Estable,moving_average,72,69.68,78.9,88.12,0.16,0.96,0.96,10.6,27.83,14.79,43,1.0,84.46,modelo+estadistico,0
MRO-90011,OBRE,Estable,moving_average,72,29.63,33.96,38.28,0.216,1.0,1.0,10.6,11.98,6.57,19,0.7477,36.75,modelo+estadistico,0
MRO-90012,NAVA,Estacional,holt_winters,72,66.34,72.72,79.08,0.097,0.96,0.96,10.6,25.65,13.97,40,1.0,74.76,modelo+estadistico,0
MRO-90012,OBRE,Estable,moving_average,72,30.0,39.16,48.3,0.374,0.84,0.71,10.6,13.81,7.87,22,0.7255,41.14,modelo+estadistico,0
