sku_id,city_id,description,criticality,on_hand_qty,inventory_min,inventory_max,demand_monthly,forecast_source,shelf_life_days,order_cost_usd,holding_cost_usd,eoq_units,target_qty,max_allowed_qty,coverage_months,decision,recommended_qty,supplier_id,supplier_name,unit_price_usd,freight_cost_usd,lead_time_days,total_cost_usd,alternatives_evaluated,confidence,stockout_cost_usd,net_benefit_usd,needs_review,reason
B2B-04A67908,NAVA,Hydraulic Filter Element 84,B,8,6,20,2.42,modelo+estadistico,365,43.5,8.5,14,20,12,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.74,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-04A67908,OBRE,Hydraulic Filter Element 84,B,15,8,29,3.77,modelo+estadistico,365,40.5,8.5,21,29,14,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.55,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-04E64A1E,OBRE,Deep Groove Ball Bearing 21,C,1,1,4,0.52,modelo+estadistico,1825,84.17,44.0,3,4,3,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.4,9.81,9.81,1,Stock is above the operating minimum: no replenishment needed
B2B-04E72EE3,NAVA,Hex Bolt 183,C,6,4,26,3.74,modelo+estadistico,3650,43.5,1.5,22,26,20,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.86,193.08,193.08,0,Stock is above the operating minimum: no replenishment needed
B2B-04FFF724,NAVA,Temperature Probe 43,B,1,2,4,0.46,modelo+estadistico,1825,102.5,217.5,2,4,3,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.54,0.0,0.0,0,Replenishing costs more than the stockout it prevents. Replenishing costs 2978.20 USD and the stockout it prevents is valued at 0.00 USD on a criticality B part
B2B-04FFF724,OBRE,Temperature Probe 43,B,2,2,5,0.6,modelo+estadistico,1825,98.75,217.5,3,5,3,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.76,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-055862A4,NAVA,O-Ring NBR 45,B,16,12,42,5.16,modelo+estadistico,730,47.33,4.5,30,42,26,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.42,0.0,0.0,1,Stock is above the operating minimum: no replenishment needed
B2B-055862A4,OBRE,O-Ring NBR 45,B,10,12,39,4.66,modelo+estadistico,730,72.83,4.5,27,39,29,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.5,0.0,0.0,0,Replenishing costs more than the stockout it prevents. Replenishing costs 579.32 USD and the stockout it prevents is valued at 0.00 USD on a criticality B part
B2B-05BB0047,NAVA,Air Filter Cartridge 143,A,4,9,18,1.54,modelo+estadistico,365,43.5,10.75,9,18,10,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.83,0.0,0.0,0,Replenishing costs more than the stockout it prevents. Replenishing costs 477.80 USD and the stockout it prevents is valued at 0.00 USD on a criticality A part
B2B-05BB0047,OBRE,Air Filter Cartridge 143,A,6,14,28,2.42,modelo+estadistico,365,40.5,10.75,14,28,17,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.63,0.0,0.0,0,Replenishing costs more than the stockout it prevents. Replenishing costs 800.86 USD and the stockout it prevents is valued at 0.00 USD on a criticality A part
B2B-0613D319,OBRE,Shaft Collar Assembly 196,C,2,1,2,0.25,modelo+estadistico,2555,98.75,81.5,1,2,0,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.4,0.0,0.0,1,Stock is above the operating minimum: no replenishment needed
B2B-064325A4,NAVA,O-Ring NBR 79,B,2,14,43,4.92,modelo+estadistico,730,43.5,2.375,29,43,41,8.3,COMPRAR,41,SUP-LOC-01,Suministros Coahuila,10.07,22.0,6.0,434.87,2,0.91,3970.8,3535.93,0,"2 units left against a minimum of 14. With a forecast demand of 4.9 per month, the economic order quantity of 29 units brings stock up to 43, about 8.3 months of consumption. Suministros Coahuila was chosen on lowest total cost among 2 offers that serve NAVA"
B2B-064325A4,OBRE,O-Ring NBR 79,B,3,3,16,2.33,modelo+estadistico,730,40.5,2.375,13,16,13,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.43,3239.24,3239.24,1,Stock is above the operating minimum: no replenishment needed
B2B-0663EAC5,NAVA,Food Grade Grease 95,C,4,2,13,1.92,modelo+estadistico,180,47.33,7.25,11,13,5,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.64,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-0663EAC5,OBRE,Food Grade Grease 95,C,1,8,38,5.01,modelo+estadistico,180,72.83,7.25,30,38,23,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.91,248.33,248.33,0,Replenishing costs more than the stockout it prevents. Replenishing costs 733.02 USD and the stockout it prevents is valued at 248.33 USD on a criticality C part
B2B-06E7F576,NAVA,Angular Contact Bearing 30,A,2,2,4,0.36,modelo+estadistico,1825,47.33,32.375,2,4,2,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.91,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-06E7F576,OBRE,Angular Contact Bearing 30,A,5,5,11,1.13,modelo+estadistico,1825,72.83,32.375,6,11,6,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.55,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-06F0B7BB,NAVA,Deep Groove Ball Bearing 155,C,12,3,16,2.37,modelo+estadistico,1825,102.5,39.25,13,16,4,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.43,0.0,0.0,1,Stock is above the operating minimum: no replenishment needed
B2B-074C259B,NAVA,Threaded Rod 144,B,19,10,38,4.7,modelo+estadistico,3650,43.5,1.25,28,38,19,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.81,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-074C259B,OBRE,Threaded Rod 144,B,61,18,58,6.81,modelo+estadistico,3650,40.5,1.25,40,58,0,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.72,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-07E656C6,NAVA,Toothed Belt 185,C,10,4,17,3.3,modelo+estadistico,1095,43.5,23.25,13,17,7,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.66,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-07E656C6,OBRE,Toothed Belt 185,C,0,2,8,1.14,modelo+estadistico,1095,40.5,23.25,6,8,8,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.59,170.05,170.05,0,Replenishing costs more than the stockout it prevents. Replenishing costs 814.64 USD and the stockout it prevents is valued at 170.05 USD on a criticality C part
B2B-0807EF6D,NAVA,Contactor 147,C,1,1,2,0.31,modelo+estadistico,1825,253.33,2798.25,1,2,1,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.9,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-081C324A,OBRE,Flange Gasket 183,B,7,3,16,2.28,modelo+estadistico,730,40.5,2.5,13,16,9,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.78,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-090C0C8F,NAVA,CIP Gasket EPDM 190,C,18,13,61,8.08,modelo+estadistico,730,47.33,2.75,48,61,43,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.45,0.0,0.0,1,Stock is above the operating minimum: no replenishment needed
B2B-090C0C8F,OBRE,CIP Gasket EPDM 190,C,2,5,26,3.52,modelo+estadistico,730,72.83,2.75,21,26,24,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.51,242.6,242.6,0,Replenishing costs more than the stockout it prevents. Replenishing costs 305.84 USD and the stockout it prevents is valued at 242.60 USD on a criticality C part
B2B-09A87048,NAVA,Shaft Seal 83,C,9,6,32,4.41,modelo+estadistico,730,47.33,5.5,26,32,23,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.47,0.0,0.0,1,Stock is above the operating minimum: no replenishment needed
B2B-09D3794B,OBRE,Hydraulic Filter Element 137,B,3,2,8,1.14,modelo+estadistico,365,72.83,9.75,6,8,5,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.44,0.0,0.0,1,Stock is above the operating minimum: no replenishment needed
B2B-09E188FB,NAVA,Rotary Seal Kit 172,A,8,24,48,4.14,modelo+estadistico,730,43.5,5.5,24,48,40,9.7,COMPRAR,40,SUP-LOC-01,Suministros Coahuila,23.32,22.0,6.0,954.8,2,0.33,10994.49,10039.69,1,"8 units left against a minimum of 24. With a forecast demand of 4.1 per month, the economic order quantity of 24 units brings stock up to 48, about 9.7 months of consumption. Suministros Coahuila was chosen on lowest total cost among 2 offers that serve NAVA. Low confidence in the forecast: needs human validation"
B2B-09E188FB,OBRE,Rotary Seal Kit 172,A,85,17,43,4.41,modelo+estadistico,730,40.5,5.5,26,43,0,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.34,0.0,0.0,1,Stock is above the operating minimum: no replenishment needed
B2B-09EE755B,NAVA,Safety Relay 195,B,0,1,2,0.19,modelo+estadistico,1825,352.5,859.75,1,2,2,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.91,692.16,692.16,0,Replenishing costs more than the stockout it prevents. Replenishing costs 8571.16 USD and the stockout it prevents is valued at 692.16 USD on a criticality B part
B2B-09EE755B,OBRE,Safety Relay 195,B,1,1,3,0.37,modelo+estadistico,1825,330.0,859.75,2,3,2,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.53,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-09F6C494,NAVA,O-Ring NBR 33,C,2,7,30,3.97,modelo+estadistico,730,47.33,4.0,23,30,28,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.99,245.28,245.28,0,Replenishing costs more than the stockout it prevents. Replenishing costs 496.88 USD and the stockout it prevents is valued at 245.28 USD on a criticality C part
B2B-0A049C10,OBRE,Flange Gasket 189,C,4,3,17,2.37,modelo+estadistico,730,72.83,3.25,14,17,13,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.9,130.75,130.75,0,Stock is above the operating minimum: no replenishment needed
B2B-0A7B5D7F,NAVA,Tapered Roller Bearing 152,B,3,5,13,1.48,modelo+estadistico,1825,102.5,60.875,8,13,10,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.46,0.0,0.0,1,Replenishing costs more than the stockout it prevents. Replenishing costs 2782.20 USD and the stockout it prevents is valued at 0.00 USD on a criticality B part
B2B-0A7B5D7F,OBRE,Tapered Roller Bearing 152,B,1,1,3,0.35,modelo+estadistico,1825,98.75,60.875,2,3,2,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.45,0.0,0.0,1,Stock is above the operating minimum: no replenishment needed
B2B-0B2EBB6B,NAVA,Air Filter Cartridge 132,C,3,2,13,1.91,modelo+estadistico,365,47.33,8.75,11,13,10,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.66,139.9,139.9,0,Stock is above the operating minimum: no replenishment needed
B2B-0B7D27FA,OBRE,Breather Filter 193,B,3,2,8,1.11,modelo+estadistico,365,40.5,8.25,6,8,5,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.44,0.0,0.0,1,Stock is above the operating minimum: no replenishment needed
B2B-0BD7AABE,OBRE,Pressure Transmitter 20,C,1,1,5,0.97,modelo+estadistico,1825,98.75,146.0,4,5,4,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.49,152.34,152.34,1,Stock is above the operating minimum: no replenishment needed
B2B-0BDEBF74,NAVA,Pressure Transmitter 91,B,0,1,1,0.12,modelo+estadistico,1825,75.67,169.0,0,1,1,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.91,452.32,452.32,0,Replenishing costs more than the stockout it prevents. Replenishing costs 738.56 USD and the stockout it prevents is valued at 452.32 USD on a criticality B part
B2B-0BDEBF74,OBRE,Pressure Transmitter 91,B,3,1,4,0.5,modelo+estadistico,1825,84.17,169.0,3,4,1,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.75,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-0BE47CF6,OBRE,Angular Contact Bearing 77,B,3,3,10,1.22,modelo+estadistico,1825,98.75,42.25,7,10,7,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.46,0.0,0.0,1,Stock is above the operating minimum: no replenishment needed
B2B-0BFDC0C3,NAVA,Cylindrical Roller Bearing 172,B,1,6,16,3.06,modelo+estadistico,1825,75.67,62.75,10,16,15,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.78,3812.45,3812.45,0,Replenishing costs more than the stockout it prevents. Replenishing costs 4012.90 USD and the stockout it prevents is valued at 3812.45 USD on a criticality B part
B2B-0BFDC0C3,OBRE,Cylindrical Roller Bearing 172,B,2,2,6,0.68,modelo+estadistico,1825,84.17,62.75,4,6,4,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.74,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-0C20548B,NAVA,Gear Oil 166,C,3,2,12,1.74,modelo+estadistico,180,47.33,6.5,10,12,5,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.69,95.34,95.34,0,Stock is above the operating minimum: no replenishment needed
B2B-0C232B3D,NAVA,Coalescing Element 13,C,6,3,19,2.69,modelo+estadistico,365,43.5,10.25,16,19,13,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.49,0.0,0.0,1,Stock is above the operating minimum: no replenishment needed
B2B-0C8A83CA,NAVA,Flexible Coupling 55,B,1,1,3,0.43,modelo+estadistico,2555,102.5,97.75,2,3,2,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.78,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-0C8A83CA,OBRE,Flexible Coupling 55,B,3,3,8,0.86,modelo+estadistico,2555,98.75,97.75,5,8,5,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.86,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-0CE85B8A,NAVA,Safety Relay 173,C,5,1,4,0.77,modelo+estadistico,1825,253.33,816.0,3,4,0,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.7,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-0D033FE2,NAVA,Flange Gasket 155,C,1,3,12,1.65,modelo+estadistico,730,47.33,3.75,9,12,11,7.9,REVISAR,13,SUP-LOC-01,Suministros Coahuila,15.9,22.0,6.0,228.7,3,0.44,201.99,-26.71,1,The minimum order quantity at Suministros Coahuila is 13 units and the allowed maximum is 11. Buying the minimum costs 228.70 USD and leaves 7.9 months of stock: the buyer has to decide
B2B-0D033FE2,OBRE,Flange Gasket 155,C,1,2,7,0.98,modelo+estadistico,730,72.83,3.75,5,7,6,13.3,REVISAR,13,SUP-LOC-02,Servicios Yaqui,15.9,26.0,7.0,232.7,3,1.0,154.28,-78.42,1,The minimum order quantity at Servicios Yaqui is 13 units and the allowed maximum is 6. Buying the minimum costs 232.70 USD and leaves 13.3 months of stock: the buyer has to decide
B2B-0D1CC065,OBRE,Cylindrical Roller Bearing 139,C,1,1,4,0.5,modelo+estadistico,1825,72.83,37.25,3,4,3,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.78,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-0DD1AA9C,NAVA,O-Ring NBR 113,C,2,7,41,5.68,modelo+estadistico,730,47.33,4.5,34,41,39,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.46,249.15,249.15,1,Replenishing costs more than the stockout it prevents. Replenishing costs 766.12 USD and the stockout it prevents is valued at 249.15 USD on a criticality C part
B2B-0DD1AA9C,OBRE,O-Ring NBR 113,C,2,3,20,2.88,modelo+estadistico,730,72.83,4.5,17,20,18,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.51,235.97,235.97,0,Replenishing costs more than the stockout it prevents. Replenishing costs 369.44 USD and the stockout it prevents is valued at 235.97 USD on a criticality C part
B2B-0DFF8701,NAVA,Conveyor Belt Section 73,C,1,1,6,0.98,modelo+estadistico,1095,47.33,18.125,5,6,5,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.57,154.28,154.28,0,Stock is above the operating minimum: no replenishment needed
B2B-0E2D8BD2,OBRE,Coalescing Element 181,B,2,4,15,1.91,modelo+estadistico,365,40.5,8.5,11,15,13,6.8,COMPRAR,13,SUP-LOC-02,Servicios Yaqui,36.04,26.0,7.0,494.52,2,0.59,3352.05,2857.53,0,"2 units left against a minimum of 4. With a forecast demand of 1.9 per month, the economic order quantity of 11 units brings stock up to 15, about 6.8 months of consumption. Servicios Yaqui was chosen on lowest total cost among 2 offers that serve OBRE"
B2B-0E4605CF,NAVA,V-Belt 74,B,2,2,9,1.23,modelo+estadistico,1095,43.5,19.25,7,9,7,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.78,1474.92,1474.92,0,Stock is above the operating minimum: no replenishment needed
B2B-0E4605CF,OBRE,V-Belt 74,B,4,4,13,1.66,modelo+estadistico,1095,40.5,19.25,9,13,9,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.76,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-0E9545F7,NAVA,Lip Seal 118,C,5,3,19,2.74,modelo+estadistico,730,47.33,3.75,16,19,14,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.47,95.37,95.37,1,Stock is above the operating minimum: no replenishment needed
B2B-0F2B7E81,NAVA,Toothed Belt 58,C,27,5,26,4.62,modelo+estadistico,1095,47.33,13.0,21,26,0,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.5,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-0F652EB9,NAVA,V-Belt 149,C,2,2,13,1.88,modelo+estadistico,1095,43.5,18.5,11,13,11,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.49,207.0,207.0,1,Stock is above the operating minimum: no replenishment needed
B2B-0FB69D23,OBRE,Lip Seal 150,C,4,7,33,4.47,modelo+estadistico,730,72.83,2.5,26,33,29,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.38,247.14,247.14,1,Replenishing costs more than the stockout it prevents. Replenishing costs 333.40 USD and the stockout it prevents is valued at 247.14 USD on a criticality C part
B2B-0FCFAD40,NAVA,Torque Limiter 139,C,1,1,3,0.34,modelo+estadistico,2555,75.67,76.75,2,3,2,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.78,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-0FCFAD40,OBRE,Torque Limiter 139,C,1,1,5,0.79,modelo+estadistico,2555,84.17,76.75,4,5,4,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.5,110.04,110.04,0,Stock is above the operating minimum: no replenishment needed
B2B-0FF8FFA4,OBRE,Lubrication Nipple 38,C,4,4,22,3.03,modelo+estadistico,180,40.5,6.5,18,22,10,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.65,218.15,218.15,0,Stock is above the operating minimum: no replenishment needed
B2B-107EFC1C,NAVA,Rotary Seal Kit 167,C,5,3,17,2.38,modelo+estadistico,730,43.5,5.0,14,17,12,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.56,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-107EFC1C,OBRE,Rotary Seal Kit 167,C,2,2,13,1.88,modelo+estadistico,730,40.5,5.0,11,13,11,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.91,207.0,207.0,0,Stock is above the operating minimum: no replenishment needed
B2B-108C769F,NAVA,Angular Contact Bearing 99,C,1,1,3,0.38,modelo+estadistico,1825,75.67,42.0,2,3,2,0.0,NO_COMPRAR,0,,,,,,0.0,3,1.0,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-108C769F,OBRE,Angular Contact Bearing 99,C,1,1,5,0.67,modelo+estadistico,1825,84.17,42.0,4,5,4,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.78,72.04,72.04,0,Stock is above the operating minimum: no replenishment needed
B2B-10C8B88C,NAVA,Angular Contact Bearing 44,B,3,3,8,0.91,modelo+estadistico,1825,75.67,40.625,5,8,5,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.7,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-10C8B88C,OBRE,Angular Contact Bearing 44,B,3,2,6,0.78,modelo+estadistico,1825,84.17,40.625,4,6,3,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.35,0.0,0.0,1,Stock is above the operating minimum: no replenishment needed
B2B-110AF049,OBRE,Toothed Belt 87,C,3,2,10,1.38,modelo+estadistico,1095,40.5,13.125,8,10,7,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.67,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-112A7A30,OBRE,Servo Drive 88,B,3,1,3,0.49,modelo+estadistico,1825,330.0,538.75,2,3,0,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.72,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-112D80FF,NAVA,Angular Contact Bearing 23,B,1,1,3,0.4,modelo+estadistico,1825,47.33,28.5,2,3,2,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.91,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-112D80FF,OBRE,Angular Contact Bearing 23,B,1,2,6,0.68,modelo+estadistico,1825,72.83,28.5,4,6,5,7.4,COMPRAR,5,SUP-LOC-02,Servicios Yaqui,120.84,26.0,7.0,630.2,3,0.56,1209.15,578.95,0,"1 units left against a minimum of 2. With a forecast demand of 0.7 per month, the economic order quantity of 4 units brings stock up to 6, about 7.4 months of consumption. Servicios Yaqui was chosen on lowest total cost among 3 offers that serve OBRE"
B2B-11B2A747,OBRE,Angular Contact Bearing 116,B,11,8,22,3.08,modelo+estadistico,1825,72.83,31.25,14,22,11,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.5,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-11EC40BA,NAVA,Air Filter Cartridge 92,C,2,2,11,1.5,modelo+estadistico,365,43.5,9.25,9,11,9,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.69,158.03,158.03,0,Stock is above the operating minimum: no replenishment needed
B2B-11F00043,NAVA,Rotary Seal Kit 16,C,7,3,19,2.8,modelo+estadistico,730,47.33,5.0,16,19,12,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.41,0.0,0.0,1,Stock is above the operating minimum: no replenishment needed
B2B-11F9D853,OBRE,Flat Belt 94,B,5,5,14,1.57,modelo+estadistico,1095,40.5,15.25,9,14,9,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.63,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-1228D9AB,OBRE,Conveyor Belt Section 62,C,1,1,5,0.7,modelo+estadistico,1095,40.5,21.25,4,5,4,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.75,82.41,82.41,0,Stock is above the operating minimum: no replenishment needed
B2B-12329DAA,NAVA,Flange Gasket 198,B,5,5,18,2.17,modelo+estadistico,730,43.5,5.5,13,18,13,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.87,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-12329DAA,OBRE,Flange Gasket 198,B,5,2,10,1.46,modelo+estadistico,730,40.5,5.5,8,10,5,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.91,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
