offer_id,supplier_id,sku_id,unit_price_usd,moq,capacity_per_month,currency
SUP-NAT-01_B2B-06F0B7BB,SUP-NAT-01,B2B-06F0B7BB,175.84,1,129,USD
SUP-NAT-02_B2B-06F0B7BB,SUP-NAT-02,B2B-06F0B7BB,175.84,1,129,USD
SUP-LOC-01_B2B-074C259B,SUP-LOC-01,B2B-074C259B,5.3,40,267,USD
SUP-LOC-02_B2B-074C259B,SUP-LOC-02,B2B-074C259B,5.3,40,267,USD
SUP-LOC-01_B2B-07E656C6,SUP-LOC-01,B2B-07E656C6,98.58,2,273,USD
SUP-LOC-02_B2B-07E656C6,SUP-LOC-02,B2B-07E656C6,98.58,2,273,USD
SUP-NAT-01_B2B-0807EF6D,SUP-NAT-01,B2B-0807EF6D,12536.16,1,12,USD
SUP-OEM-01_B2B-0807EF6D,SUP-OEM-01,B2B-0807EF6D,13655.46,1,12,USD
SUP-OEM-02_B2B-0807EF6D,SUP-OEM-02,B2B-0807EF6D,13655.46,1,12,USD
SUP-LOC-01_B2B-081C324A,SUP-LOC-01,B2B-081C324A,10.6,20,165,USD
SUP-LOC-02_B2B-081C324A,SUP-LOC-02,B2B-081C324A,10.6,20,165,USD
SUP-LOC-01_B2B-090C0C8F,SUP-LOC-01,B2B-090C0C8F,11.66,18,183,USD
SUP-LOC-02_B2B-090C0C8F,SUP-LOC-02,B2B-090C0C8F,11.66,18,183,USD
SUP-NAT-01_B2B-090C0C8F,SUP-NAT-01,B2B-090C0C8F,12.32,18,183,USD
SUP-LOC-01_B2B-09A87048,SUP-LOC-01,B2B-09A87048,23.32,9,138,USD
SUP-LOC-02_B2B-09A87048,SUP-LOC-02,B2B-09A87048,23.32,9,138,USD
SUP-NAT-01_B2B-09A87048,SUP-NAT-01,B2B-09A87048,24.64,9,138,USD
SUP-LOC-01_B2B-09D3794B,SUP-LOC-01,B2B-09D3794B,41.34,5,126,USD
SUP-LOC-02_B2B-09D3794B,SUP-LOC-02,B2B-09D3794B,41.34,5,126,USD
SUP-NAT-01_B2B-09D3794B,SUP-NAT-01,B2B-09D3794B,43.68,5,126,USD
SUP-LOC-01_B2B-09E188FB,SUP-LOC-01,B2B-09E188FB,23.32,9,375,USD
SUP-LOC-02_B2B-09E188FB,SUP-LOC-02,B2B-09E188FB,23.32,9,375,USD
SUP-OEM-01_B2B-09EE755B,SUP-OEM-01,B2B-09EE755B,4195.58,1,15,USD
SUP-OEM-02_B2B-09EE755B,SUP-OEM-02,B2B-09EE755B,4195.58,1,15,USD
SUP-LOC-01_B2B-09F6C494,SUP-LOC-01,B2B-09F6C494,16.96,12,87,USD
SUP-LOC-02_B2B-09F6C494,SUP-LOC-02,B2B-09F6C494,16.96,12,87,USD
SUP-NAT-01_B2B-09F6C494,SUP-NAT-01,B2B-09F6C494,17.92,12,87,USD
SUP-LOC-01_B2B-0A049C10,SUP-LOC-01,B2B-0A049C10,13.78,15,192,USD
SUP-LOC-02_B2B-0A049C10,SUP-LOC-02,B2B-0A049C10,13.78,15,192,USD
SUP-NAT-01_B2B-0A049C10,SUP-NAT-01,B2B-0A049C10,14.56,15,192,USD
SUP-NAT-01_B2B-0A7B5D7F,SUP-NAT-01,B2B-0A7B5D7F,272.72,1,45,USD
SUP-NAT-02_B2B-0A7B5D7F,SUP-NAT-02,B2B-0A7B5D7F,272.72,1,45,USD
SUP-LOC-01_B2B-0B2EBB6B,SUP-LOC-01,B2B-0B2EBB6B,37.1,6,153,USD
SUP-LOC-02_B2B-0B2EBB6B,SUP-LOC-02,B2B-0B2EBB6B,37.1,6,153,USD
SUP-NAT-01_B2B-0B2EBB6B,SUP-NAT-01,B2B-0B2EBB6B,39.2,6,153,USD
SUP-LOC-01_B2B-0B7D27FA,SUP-LOC-01,B2B-0B7D27FA,34.98,6,144,USD
SUP-LOC-02_B2B-0B7D27FA,SUP-LOC-02,B2B-0B7D27FA,34.98,6,144,USD
SUP-NAT-01_B2B-0BD7AABE,SUP-NAT-01,B2B-0BD7AABE,654.08,1,42,USD
SUP-NAT-02_B2B-0BD7AABE,SUP-NAT-02,B2B-0BD7AABE,654.08,1,42,USD
SUP-LOC-01_B2B-0BDEBF74,SUP-LOC-01,B2B-0BDEBF74,716.56,1,42,USD
SUP-NAT-01_B2B-0BDEBF74,SUP-NAT-01,B2B-0BDEBF74,757.12,1,42,USD
SUP-NAT-02_B2B-0BDEBF74,SUP-NAT-02,B2B-0BDEBF74,757.12,1,42,USD
SUP-NAT-01_B2B-0BE47CF6,SUP-NAT-01,B2B-0BE47CF6,189.28,1,81,USD
SUP-NAT-02_B2B-0BE47CF6,SUP-NAT-02,B2B-0BE47CF6,189.28,1,81,USD
SUP-LOC-01_B2B-0BFDC0C3,SUP-LOC-01,B2B-0BFDC0C3,266.06,1,42,USD
SUP-NAT-01_B2B-0BFDC0C3,SUP-NAT-01,B2B-0BFDC0C3,281.12,1,42,USD
SUP-NAT-02_B2B-0BFDC0C3,SUP-NAT-02,B2B-0BFDC0C3,281.12,1,42,USD
SUP-LOC-01_B2B-0C20548B,SUP-LOC-01,B2B-0C20548B,27.56,8,219,USD
SUP-LOC-02_B2B-0C20548B,SUP-LOC-02,B2B-0C20548B,27.56,8,219,USD
SUP-NAT-01_B2B-0C20548B,SUP-NAT-01,B2B-0C20548B,29.12,8,219,USD
SUP-LOC-01_B2B-0C232B3D,SUP-LOC-01,B2B-0C232B3D,43.46,5,129,USD
SUP-LOC-02_B2B-0C232B3D,SUP-LOC-02,B2B-0C232B3D,43.46,5,129,USD
SUP-NAT-01_B2B-0C8A83CA,SUP-NAT-01,B2B-0C8A83CA,437.92,1,30,USD
SUP-NAT-02_B2B-0C8A83CA,SUP-NAT-02,B2B-0C8A83CA,437.92,1,30,USD
SUP-NAT-01_B2B-0CE85B8A,SUP-NAT-01,B2B-0CE85B8A,3655.68,1,57,USD
SUP-OEM-01_B2B-0CE85B8A,SUP-OEM-01,B2B-0CE85B8A,3982.08,1,57,USD
SUP-OEM-02_B2B-0CE85B8A,SUP-OEM-02,B2B-0CE85B8A,3982.08,1,57,USD
SUP-LOC-01_B2B-0D033FE2,SUP-LOC-01,B2B-0D033FE2,15.9,13,51,USD
SUP-LOC-02_B2B-0D033FE2,SUP-LOC-02,B2B-0D033FE2,15.9,13,51,USD
SUP-NAT-01_B2B-0D033FE2,SUP-NAT-01,B2B-0D033FE2,16.8,13,51,USD
SUP-LOC-01_B2B-0D1CC065,SUP-LOC-01,B2B-0D1CC065,157.94,1,30,USD
SUP-LOC-02_B2B-0D1CC065,SUP-LOC-02,B2B-0D1CC065,157.94,1,30,USD
SUP-NAT-01_B2B-0D1CC065,SUP-NAT-01,B2B-0D1CC065,166.88,1,30,USD
SUP-LOC-01_B2B-0DD1AA9C,SUP-LOC-01,B2B-0DD1AA9C,19.08,11,258,USD
SUP-LOC-02_B2B-0DD1AA9C,SUP-LOC-02,B2B-0DD1AA9C,19.08,11,258,USD
SUP-NAT-01_B2B-0DD1AA9C,SUP-NAT-01,B2B-0DD1AA9C,20.16,11,258,USD
SUP-LOC-01_B2B-0DFF8701,SUP-LOC-01,B2B-0DFF8701,76.85,3,36,USD
SUP-LOC-02_B2B-0DFF8701,SUP-LOC-02,B2B-0DFF8701,76.85,3,36,USD
SUP-NAT-01_B2B-0DFF8701,SUP-NAT-01,B2B-0DFF8701,81.2,3,36,USD
SUP-LOC-01_B2B-0E2D8BD2,SUP-LOC-01,B2B-0E2D8BD2,36.04,6,141,USD
SUP-LOC-02_B2B-0E2D8BD2,SUP-LOC-02,B2B-0E2D8BD2,36.04,6,141,USD
SUP-LOC-01_B2B-0E4605CF,SUP-LOC-01,B2B-0E4605CF,81.62,3,207,USD
SUP-LOC-02_B2B-0E4605CF,SUP-LOC-02,B2B-0E4605CF,81.62,3,207,USD
SUP-LOC-01_B2B-0E9545F7,SUP-LOC-01,B2B-0E9545F7,15.9,13,150,USD
SUP-LOC-02_B2B-0E9545F7,SUP-LOC-02,B2B-0E9545F7,15.9,13,150,USD
SUP-NAT-01_B2B-0E9545F7,SUP-NAT-01,B2B-0E9545F7,16.8,13,150,USD
SUP-LOC-01_B2B-0F2B7E81,SUP-LOC-01,B2B-0F2B7E81,55.12,4,234,USD
SUP-LOC-02_B2B-0F2B7E81,SUP-LOC-02,B2B-0F2B7E81,55.12,4,234,USD
SUP-NAT-01_B2B-0F2B7E81,SUP-NAT-01,B2B-0F2B7E81,58.24,4,234,USD
SUP-LOC-01_B2B-0F652EB9,SUP-LOC-01,B2B-0F652EB9,78.44,3,105,USD
SUP-LOC-02_B2B-0F652EB9,SUP-LOC-02,B2B-0F652EB9,78.44,3,105,USD
SUP-LOC-01_B2B-0FB69D23,SUP-LOC-01,B2B-0FB69D23,10.6,20,162,USD
SUP-LOC-02_B2B-0FB69D23,SUP-LOC-02,B2B-0FB69D23,10.6,20,162,USD
SUP-NAT-01_B2B-0FB69D23,SUP-NAT-01,B2B-0FB69D23,11.2,20,162,USD
SUP-LOC-01_B2B-0FCFAD40,SUP-LOC-01,B2B-0FCFAD40,325.42,1,42,USD
SUP-NAT-01_B2B-0FCFAD40,SUP-NAT-01,B2B-0FCFAD40,343.84,1,42,USD
SUP-NAT-02_B2B-0FCFAD40,SUP-NAT-02,B2B-0FCFAD40,343.84,1,42,USD
SUP-LOC-01_B2B-0FF8FFA4,SUP-LOC-01,B2B-0FF8FFA4,27.56,8,366,USD
SUP-LOC-02_B2B-0FF8FFA4,SUP-LOC-02,B2B-0FF8FFA4,27.56,8,366,USD
SUP-LOC-01_B2B-107EFC1C,SUP-LOC-01,B2B-107EFC1C,21.2,10,210,USD
SUP-LOC-02_B2B-107EFC1C,SUP-LOC-02,B2B-107EFC1C,21.2,10,210,USD
SUP-LOC-01_B2B-108C769F,SUP-LOC-01,B2B-108C769F,178.08,1,60,USD
SUP-NAT-01_B2B-108C769F,SUP-NAT-01,B2B-108C769F,188.16,1,60,USD
SUP-NAT-02_B2B-108C769F,SUP-NAT-02,B2B-108C769F,188.16,1,60,USD
SUP-LOC-01_B2B-10C8B88C,SUP-LOC-01,B2B-10C8B88C,172.25,1,39,USD
SUP-NAT-01_B2B-10C8B88C,SUP-NAT-01,B2B-10C8B88C,182.0,1,39,USD
SUP-NAT-02_B2B-10C8B88C,SUP-NAT-02,B2B-10C8B88C,182.0,1,39,USD
SUP-LOC-01_B2B-110AF049,SUP-LOC-01,B2B-110AF049,55.65,4,78,USD
SUP-LOC-02_B2B-110AF049,SUP-LOC-02,B2B-110AF049,55.65,4,78,USD
SUP-OEM-01_B2B-112A7A30,SUP-OEM-01,B2B-112A7A30,2629.1,1,33,USD
SUP-OEM-02_B2B-112A7A30,SUP-OEM-02,B2B-112A7A30,2629.1,1,33,USD
SUP-LOC-01_B2B-112D80FF,SUP-LOC-01,B2B-112D80FF,120.84,2,51,USD
SUP-LOC-02_B2B-112D80FF,SUP-LOC-02,B2B-112D80FF,120.84,2,51,USD
SUP-NAT-01_B2B-112D80FF,SUP-NAT-01,B2B-112D80FF,127.68,2,51,USD
SUP-LOC-01_B2B-11B2A747,SUP-LOC-01,B2B-11B2A747,132.5,2,138,USD
SUP-LOC-02_B2B-11B2A747,SUP-LOC-02,B2B-11B2A747,132.5,2,138,USD
SUP-NAT-01_B2B-11B2A747,SUP-NAT-01,B2B-11B2A747,140.0,2,138,USD
SUP-LOC-01_B2B-11EC40BA,SUP-LOC-01,B2B-11EC40BA,39.22,5,84,USD
SUP-LOC-02_B2B-11EC40BA,SUP-LOC-02,B2B-11EC40BA,39.22,5,84,USD
SUP-LOC-01_B2B-11F00043,SUP-LOC-01,B2B-11F00043,21.2,10,183,USD
SUP-LOC-02_B2B-11F00043,SUP-LOC-02,B2B-11F00043,21.2,10,183,USD
SUP-NAT-01_B2B-11F00043,SUP-NAT-01,B2B-11F00043,22.4,10,183,USD
SUP-LOC-01_B2B-11F9D853,SUP-LOC-01,B2B-11F9D853,64.66,3,75,USD
SUP-LOC-02_B2B-11F9D853,SUP-LOC-02,B2B-11F9D853,64.66,3,75,USD
SUP-LOC-01_B2B-1228D9AB,SUP-LOC-01,B2B-1228D9AB,90.1,2,36,USD
SUP-LOC-02_B2B-1228D9AB,SUP-LOC-02,B2B-1228D9AB,90.1,2,36,USD
SUP-LOC-01_B2B-12329DAA,SUP-LOC-01,B2B-12329DAA,23.32,9,138,USD
SUP-LOC-02_B2B-12329DAA,SUP-LOC-02,B2B-12329DAA,23.32,9,138,USD
SUP-LOC-01_B2B-126DED1C,SUP-LOC-01,B2B-126DED1C,514.1,1,42,USD
SUP-NAT-01_B2B-126DED1C,SUP-NAT-01,B2B-126DED1C,543.2,1,42,USD
SUP-NAT-02_B2B-126DED1C,SUP-NAT-02,B2B-126DED1C,543.2,1,42,USD
SUP-NAT-01_B2B-135AD84E,SUP-NAT-01,B2B-135AD84E,376.32,1,45,USD
SUP-NAT-02_B2B-135AD84E,SUP-NAT-02,B2B-135AD84E,376.32,1,45,USD
SUP-LOC-01_B2B-13C90FB6,SUP-LOC-01,B2B-13C90FB6,26.5,8,138,USD
SUP-LOC-02_B2B-13C90FB6,SUP-LOC-02,B2B-13C90FB6,26.5,8,138,USD
SUP-NAT-01_B2B-1402824E,SUP-NAT-01,B2B-1402824E,796.32,1,30,USD
SUP-NAT-02_B2B-1402824E,SUP-NAT-02,B2B-1402824E,796.32,1,30,USD
SUP-OEM-01_B2B-14284CA2,SUP-OEM-01,B2B-14284CA2,4144.34,1,18,USD
SUP-OEM-02_B2B-14284CA2,SUP-OEM-02,B2B-14284CA2,4144.34,1,18,USD
SUP-LOC-01_B2B-142D3777,SUP-LOC-01,B2B-142D3777,102.82,2,174,USD
SUP-LOC-02_B2B-142D3777,SUP-LOC-02,B2B-142D3777,102.82,2,174,USD
SUP-LOC-01_B2B-14601675,SUP-LOC-01,B2B-14601675,24.38,9,96,USD
SUP-LOC-02_B2B-14601675,SUP-LOC-02,B2B-14601675,24.38,9,96,USD
SUP-LOC-01_B2B-1487F8B3,SUP-LOC-01,B2B-1487F8B3,66.78,3,60,USD
SUP-LOC-02_B2B-1487F8B3,SUP-LOC-02,B2B-1487F8B3,66.78,3,60,USD
SUP-LOC-01_B2B-148FAF9F,SUP-LOC-01,B2B-148FAF9F,25.44,8,279,USD
SUP-LOC-02_B2B-148FAF9F,SUP-LOC-02,B2B-148FAF9F,25.44,8,279,USD
SUP-LOC-01_B2B-1508C522,SUP-LOC-01,B2B-1508C522,1.06,100,648,USD
SUP-LOC-02_B2B-1508C522,SUP-LOC-02,B2B-1508C522,1.06,100,648,USD
SUP-NAT-01_B2B-1508C522,SUP-NAT-01,B2B-1508C522,1.12,100,648,USD
SUP-LOC-01_B2B-151302E4,SUP-LOC-01,B2B-151302E4,19.08,11,207,USD
SUP-LOC-02_B2B-151302E4,SUP-LOC-02,B2B-151302E4,19.08,11,207,USD
SUP-LOC-01_B2B-154C3938,SUP-LOC-01,B2B-154C3938,32.86,6,69,USD
SUP-LOC-02_B2B-154C3938,SUP-LOC-02,B2B-154C3938,32.86,6,69,USD
SUP-NAT-01_B2B-154C3938,SUP-NAT-01,B2B-154C3938,34.72,6,69,USD
SUP-LOC-01_B2B-15FE9FAE,SUP-LOC-01,B2B-15FE9FAE,27.56,8,126,USD
SUP-LOC-02_B2B-15FE9FAE,SUP-LOC-02,B2B-15FE9FAE,27.56,8,126,USD
SUP-NAT-01_B2B-1777BD2C,SUP-NAT-01,B2B-1777BD2C,455.84,1,51,USD
SUP-NAT-02_B2B-1777BD2C,SUP-NAT-02,B2B-1777BD2C,455.84,1,51,USD
SUP-LOC-01_B2B-1881FA7E,SUP-LOC-01,B2B-1881FA7E,1.06,100,1005,USD
SUP-LOC-02_B2B-1881FA7E,SUP-LOC-02,B2B-1881FA7E,1.06,100,1005,USD
SUP-NAT-01_B2B-188BC5A2,SUP-NAT-01,B2B-188BC5A2,1271.2,1,18,USD
SUP-NAT-02_B2B-188BC5A2,SUP-NAT-02,B2B-188BC5A2,1271.2,1,18,USD
SUP-LOC-01_B2B-18C515D1,SUP-LOC-01,B2B-18C515D1,7.95,27,120,USD
SUP-LOC-02_B2B-18C515D1,SUP-LOC-02,B2B-18C515D1,7.95,27,120,USD
SUP-LOC-01_B2B-19107219,SUP-LOC-01,B2B-19107219,100.7,2,72,USD
SUP-LOC-02_B2B-19107219,SUP-LOC-02,B2B-19107219,100.7,2,72,USD
SUP-NAT-01_B2B-19107219,SUP-NAT-01,B2B-19107219,106.4,2,72,USD
SUP-LOC-01_B2B-1972A9E4,SUP-LOC-01,B2B-1972A9E4,5.3,40,240,USD
SUP-LOC-02_B2B-1972A9E4,SUP-LOC-02,B2B-1972A9E4,5.3,40,240,USD
SUP-LOC-01_B2B-19824648,SUP-LOC-01,B2B-19824648,39.22,5,192,USD
SUP-LOC-02_B2B-19824648,SUP-LOC-02,B2B-19824648,39.22,5,192,USD
SUP-LOC-01_B2B-1A99AF72,SUP-LOC-01,B2B-1A99AF72,16.96,12,93,USD
SUP-LOC-02_B2B-1A99AF72,SUP-LOC-02,B2B-1A99AF72,16.96,12,93,USD
SUP-LOC-01_B2B-1AFEC9F3,SUP-LOC-01,B2B-1AFEC9F3,28.09,8,174,USD
SUP-LOC-02_B2B-1AFEC9F3,SUP-LOC-02,B2B-1AFEC9F3,28.09,8,174,USD
SUP-LOC-01_B2B-1B16B6A1,SUP-LOC-01,B2B-1B16B6A1,47.7,4,120,USD
SUP-LOC-02_B2B-1B16B6A1,SUP-LOC-02,B2B-1B16B6A1,47.7,4,120,USD
SUP-LOC-01_B2B-1B29E2D8,SUP-LOC-01,B2B-1B29E2D8,54.06,4,108,USD
SUP-LOC-02_B2B-1B29E2D8,SUP-LOC-02,B2B-1B29E2D8,54.06,4,108,USD
SUP-LOC-01_B2B-1B6E9894,SUP-LOC-01,B2B-1B6E9894,8.48,25,243,USD
SUP-LOC-02_B2B-1B6E9894,SUP-LOC-02,B2B-1B6E9894,8.48,25,243,USD
SUP-LOC-01_B2B-1BC9D6A5,SUP-LOC-01,B2B-1BC9D6A5,20.14,11,165,USD
SUP-LOC-02_B2B-1BC9D6A5,SUP-LOC-02,B2B-1BC9D6A5,20.14,11,165,USD
SUP-NAT-01_B2B-1BC9D6A5,SUP-NAT-01,B2B-1BC9D6A5,21.28,11,165,USD
SUP-LOC-01_B2B-1BF419CE,SUP-LOC-01,B2B-1BF419CE,42.4,5,126,USD
SUP-LOC-02_B2B-1BF419CE,SUP-LOC-02,B2B-1BF419CE,42.4,5,126,USD
SUP-LOC-01_B2B-1C4F216C,SUP-LOC-01,B2B-1C4F216C,14.84,14,213,USD
SUP-LOC-02_B2B-1C4F216C,SUP-LOC-02,B2B-1C4F216C,14.84,14,213,USD
SUP-NAT-01_B2B-1C4F216C,SUP-NAT-01,B2B-1C4F216C,15.68,14,213,USD
SUP-LOC-01_B2B-1C50B0B6,SUP-LOC-01,B2B-1C50B0B6,1.06,100,300,USD
SUP-LOC-02_B2B-1C50B0B6,SUP-LOC-02,B2B-1C50B0B6,1.06,100,300,USD
SUP-NAT-01_B2B-1C51C78A,SUP-NAT-01,B2B-1C51C78A,693.28,1,27,USD
SUP-NAT-02_B2B-1C51C78A,SUP-NAT-02,B2B-1C51C78A,693.28,1,27,USD
SUP-NAT-01_B2B-1D93FCD8,SUP-NAT-01,B2B-1D93FCD8,8000.16,1,24,USD
SUP-OEM-01_B2B-1D93FCD8,SUP-OEM-01,B2B-1D93FCD8,8714.46,1,24,USD
SUP-OEM-02_B2B-1D93FCD8,SUP-OEM-02,B2B-1D93FCD8,8714.46,1,24,USD
SUP-LOC-01_B2B-1DBA4393,SUP-LOC-01,B2B-1DBA4393,7.42,29,141,USD
SUP-LOC-02_B2B-1DBA4393,SUP-LOC-02,B2B-1DBA4393,7.42,29,141,USD
SUP-LOC-01_B2B-1DE3A766,SUP-LOC-01,B2B-1DE3A766,25.44,8,285,USD
SUP-LOC-02_B2B-1DE3A766,SUP-LOC-02,B2B-1DE3A766,25.44,8,285,USD
SUP-NAT-01_B2B-1DE3A766,SUP-NAT-01,B2B-1DE3A766,26.88,8,285,USD
SUP-LOC-01_B2B-1DEDF284,SUP-LOC-01,B2B-1DEDF284,21.73,10,168,USD
SUP-LOC-02_B2B-1DEDF284,SUP-LOC-02,B2B-1DEDF284,21.73,10,168,USD
SUP-NAT-01_B2B-1DEDF284,SUP-NAT-01,B2B-1DEDF284,22.96,10,168,USD
SUP-NAT-01_B2B-1EA21CFA,SUP-NAT-01,B2B-1EA21CFA,430.08,1,51,USD
SUP-NAT-02_B2B-1EA21CFA,SUP-NAT-02,B2B-1EA21CFA,430.08,1,51,USD
SUP-LOC-01_B2B-1EC461E1,SUP-LOC-01,B2B-1EC461E1,76.32,3,963,USD
SUP-LOC-02_B2B-1EC461E1,SUP-LOC-02,B2B-1EC461E1,76.32,3,963,USD
SUP-LOC-01_B2B-1F2F865F,SUP-LOC-01,B2B-1F2F865F,338.14,1,30,USD
SUP-NAT-01_B2B-1F2F865F,SUP-NAT-01,B2B-1F2F865F,357.28,1,30,USD
SUP-NAT-02_B2B-1F2F865F,SUP-NAT-02,B2B-1F2F865F,357.28,1,30,USD
SUP-LOC-01_B2B-1F536C46,SUP-LOC-01,B2B-1F536C46,36.04,6,141,USD
SUP-LOC-02_B2B-1F536C46,SUP-LOC-02,B2B-1F536C46,36.04,6,141,USD
SUP-NAT-01_B2B-1F536C46,SUP-NAT-01,B2B-1F536C46,38.08,6,141,USD
SUP-LOC-01_B2B-1FDD5AD2,SUP-LOC-01,B2B-1FDD5AD2,1.06,100,732,USD
SUP-LOC-02_B2B-1FDD5AD2,SUP-LOC-02,B2B-1FDD5AD2,1.06,100,732,USD
SUP-NAT-01_B2B-1FDD5AD2,SUP-NAT-01,B2B-1FDD5AD2,1.12,100,732,USD
SUP-LOC-01_B2B-206973A6,SUP-LOC-01,B2B-206973A6,41.34,5,54,USD
SUP-LOC-02_B2B-206973A6,SUP-LOC-02,B2B-206973A6,41.34,5,54,USD
SUP-LOC-01_B2B-2114DFC1,SUP-LOC-01,B2B-2114DFC1,22.26,10,57,USD
